date,death,tmpd,pm10tmean
1987-01-01,21,43,NA
1987-01-02,21,33.5,NA
1987-01-03,24,37,-1.254545455
1987-01-04,32,39.5,NA
1987-01-05,21,47.5,NA
1987-01-06,22,44.5,NA
1987-01-07,22,52,NA
1987-01-08,17,45.5,NA
1987-01-09,23,46.5,27.745454545
1987-01-10,24,44.5,NA
1987-01-11,18,34.5,NA
1987-01-12,26,40.5,NA
1987-01-13,16,51,NA
1987-01-14,27,53.5,NA
1987-01-15,21,51.5,3.7454545455
1987-01-16,31,50.5,NA
1987-01-17,24,45.5,NA
1987-01-18,18,41,NA
1987-01-19,31,41.5,NA
1987-01-20,17,35.5,NA
1987-01-21,25,37,-8.254545455
1987-01-22,28,33.5,NA
1987-01-23,28,29.5,NA
1987-01-24,25,40,NA
1987-01-25,29,42,NA
1987-01-26,22,31,NA
1987-01-27,18,25,-4.254545455
1987-01-28,26,38.5,NA
1987-01-29,19,46.5,NA
1987-01-30,20,56.5,NA
1987-01-31,24,43.5,NA
1987-02-01,17,47,NA
1987-02-02,27,51.5,-22.25454545
1987-02-03,23,50.5,NA
1987-02-04,23,48.5,NA
1987-02-05,12,48.5,NA
1987-02-06,27,47,NA
1987-02-07,24,54.5,NA
1987-02-08,23,50,-26.25454545
1987-02-09,29,34,NA
1987-02-10,30,41,NA
1987-02-11,27,48.5,NA
1987-02-12,16,60,NA
1987-02-13,22,54,NA
1987-02-14,19,57.5,59.745454545
1987-02-15,22,53,NA
1987-02-16,23,39,NA
1987-02-17,29,34.5,NA
1987-02-18,27,38,NA
1987-02-19,15,40.5,NA
1987-02-20,25,43,-13.25454545
1987-02-21,25,45.5,NA
1987-02-22,20,43.5,NA
1987-02-23,17,45.5,NA
1987-02-24,24,43,NA
1987-02-25,19,44,NA
1987-02-26,26,42,-25.25454545
1987-02-27,18,37,NA
1987-02-28,28,41,NA
1987-03-01,21,50.5,NA
1987-03-02,28,50.5,NA
1987-03-03,20,53,NA
1987-03-04,27,50.5,-10.25454545
1987-03-05,18,49.5,NA
1987-03-06,28,49.5,NA
1987-03-07,16,52.5,NA
1987-03-08,13,54.5,NA
1987-03-09,22,54.5,NA
1987-03-10,20,46,-18.25454545
1987-03-11,32,39,NA
1987-03-12,19,39,NA
1987-03-13,22,45,NA
1987-03-14,23,51,NA
1987-03-15,28,54,NA
1987-03-16,25,63.5,4.7454545455
1987-03-17,28,52.5,NA
1987-03-18,24,46.5,NA
1987-03-19,23,51,NA
1987-03-20,21,56.5,NA
1987-03-21,20,58.5,NA
1987-03-22,18,60,-2.254545455
1987-03-23,24,58.5,NA
1987-03-24,19,54.5,NA
1987-03-25,34,64.5,NA
1987-03-26,17,61,NA
1987-03-27,27,61,NA
1987-03-28,21,66.5,NA
1987-03-29,28,62.5,NA
1987-03-30,25,53.5,NA
1987-03-31,16,36,NA
1987-04-01,19,42.5,NA
1987-04-02,21,51.5,NA
1987-04-03,22,36.5,-29.25454545
1987-04-04,23,38.5,NA
1987-04-05,24,45,NA
1987-04-06,25,46.5,NA
1987-04-07,15,49,NA
1987-04-08,20,54,NA
1987-04-09,20,61,24.745454545
1987-04-10,19,63,NA
1987-04-11,30,64.5,NA
1987-04-12,9,68.5,NA
1987-04-13,29,69,NA
1987-04-14,21,66.5,NA
1987-04-15,18,60,-12.25454545
1987-04-16,23,55.5,NA
1987-04-17,31,57,NA
1987-04-18,26,60,NA
1987-04-19,23,65.5,NA
1987-04-20,20,70,NA
1987-04-21,21,73.5,22.745454545
1987-04-22,25,75,NA
1987-04-23,21,74.5,NA
1987-04-24,14,63,NA
1987-04-25,22,63,NA
1987-04-26,20,65,NA
1987-04-27,22,66.5,-3.254545455
1987-04-28,15,66,NA
1987-04-29,15,65.5,NA
1987-04-30,21,73,NA
1987-05-01,18,74.5,NA
1987-05-02,27,73,NA
1987-05-03,21,69,-10.25454545
1987-05-04,20,71.5,NA
1987-05-05,25,60,NA
1987-05-06,23,64.5,NA
1987-05-07,14,67.5,NA
1987-05-08,26,70.5,NA
1987-05-09,18,68.5,-3.254545455
1987-05-10,20,68,NA
1987-05-11,16,65,NA
1987-05-12,19,72.5,NA
1987-05-13,20,70.5,NA
1987-05-14,25,70.5,NA
