date,death,tmpd,pm10tmean
1987-01-01,5,50,-4.202247191
1987-01-02,3,48.5,NA
1987-01-03,7,51.5,-5.202247191
1987-01-04,7,47,NA
1987-01-05,2,46.5,-5.202247191
1987-01-06,3,58.5,NA
1987-01-07,11,59,1.797752809
1987-01-08,7,52.5,NA
1987-01-09,10,55.5,-15.20224719
1987-01-10,11,49,NA
1987-01-11,7,42.5,-16.20224719
1987-01-12,6,49.5,NA
1987-01-13,6,51.5,-13.20224719
1987-01-14,7,56.5,NA
1987-01-15,7,54,-5.202247191
1987-01-16,8,46.5,NA
1987-01-17,6,39.5,-21.20224719
1987-01-18,6,37,NA
1987-01-19,8,41.5,-15.20224719
1987-01-20,10,42,NA
1987-01-21,8,43,-13.20224719
1987-01-22,9,44.5,NA
1987-01-23,7,44.5,10.797752809
1987-01-24,5,61,NA
1987-01-25,7,52.5,-8.202247191
1987-01-26,5,56.5,NA
1987-01-27,6,56,NA
1987-01-28,10,61,NA
1987-01-29,5,69.5,-2.202247191
1987-01-30,7,59,NA
1987-01-31,4,55.5,12.797752809
1987-02-01,7,66.5,NA
1987-02-02,4,64,-8.202247191
1987-02-03,5,60,NA
1987-02-04,11,65,-10.20224719
1987-02-05,2,58,NA
1987-02-06,9,48,-13.20224719
1987-02-07,13,55,NA
1987-02-08,8,61,-18.20224719
1987-02-09,10,53,NA
1987-02-10,5,55,-0.202247191
1987-02-11,8,65.5,NA
1987-02-12,8,66.5,-0.202247191
1987-02-13,3,64.5,NA
1987-02-14,3,63,-6.202247191
1987-02-15,6,58,NA
1987-02-16,8,49,-16.20224719
1987-02-17,5,48,NA
1987-02-18,5,44.5,-8.202247191
1987-02-19,7,44,NA
1987-02-20,6,42.5,-8.202247191
1987-02-21,5,46.5,NA
1987-02-22,6,53,-11.20224719
1987-02-23,3,51,NA
1987-02-24,11,50,-5.202247191
1987-02-25,7,52,NA
1987-02-26,8,56.5,-14.20224719
1987-02-27,7,58,NA
1987-02-28,9,57,-16.20224719
1987-03-01,9,54,NA
1987-03-02,4,52.5,-4.202247191
1987-03-03,8,54.5,NA
1987-03-04,8,58.5,0.797752809
1987-03-05,7,59,NA
1987-03-06,2,59,5.797752809
1987-03-07,5,58,NA
1987-03-08,11,61,7.797752809
1987-03-09,8,59,NA
1987-03-10,6,51,-5.202247191
1987-03-11,3,47,NA
1987-03-12,9,47.5,1.797752809
1987-03-13,7,53,NA
1987-03-14,6,56.5,-2.202247191
1987-03-15,5,66.5,NA
1987-03-16,5,68,-3.202247191
1987-03-17,10,64,NA
1987-03-18,3,61.5,-4.202247191
1987-03-19,3,63.5,NA
1987-03-20,10,66,-3.202247191
1987-03-21,6,68.5,NA
1987-03-22,2,70,-5.202247191
1987-03-23,8,63.5,NA
1987-03-24,5,57.5,-3.202247191
1987-03-25,7,55,NA
1987-03-26,5,58.5,-8.202247191
1987-03-27,6,62,NA
1987-03-28,6,64,-5.202247191
1987-03-29,5,42.5,NA
1987-03-30,5,43.5,-10.20224719
1987-03-31,8,52,NA
1987-04-01,12,58.5,4.797752809
1987-04-02,3,52,NA
1987-04-03,5,50,-4.202247191
1987-04-04,6,53,NA
1987-04-05,9,51,-5.202247191
1987-04-06,10,54,NA
1987-04-07,2,58.5,-0.202247191
1987-04-08,6,61,NA
1987-04-09,7,64,4.797752809
1987-04-10,6,72.5,NA
1987-04-11,4,73,0.797752809
1987-04-12,6,74,NA
1987-04-13,7,69,-5.202247191
1987-04-14,5,65.5,NA
1987-04-15,4,70.5,-0.202247191
1987-04-16,4,74.5,NA
1987-04-17,4,75,0.797752809
1987-04-18,5,72.5,NA
1987-04-19,5,74.5,NA
1987-04-20,6,76,NA
1987-04-21,2,66.5,-1.202247191
1987-04-22,8,67,NA
1987-04-23,5,72.5,77.797752809
1987-04-24,9,75,NA
1987-04-25,5,73,7.797752809
1987-04-26,4,72.5,NA
1987-04-27,6,75,19.797752809
1987-04-28,6,76.5,NA
1987-04-29,4,75.5,20.797752809
1987-04-30,8,74,NA
1987-05-01,4,72.5,12.797752809
1987-05-02,10,78.5,NA
1987-05-03,6,75,NA
1987-05-04,7,73,NA
1987-05-05,7,75,3.797752809
1987-05-06,7,73.5,NA
1987-05-07,4,71.5,0.797752809
1987-05-08,3,71,NA
1987-05-09,1,72,3.797752809
1987-05-10,5,74.5,NA
1987-05-11,4,73,-0.202247191
1987-05-12,6,75.5,NA
1987-05-13,5,77,10.797752809
1987-05-14,7,80,NA
1987-05-15,9,79,14.797752809
1987-05-16,7,70.5,NA
1987-05-17,4,75,6.797752809
1987-05-18,4,80,NA
1987-05-19,5,74,1.797752809
1987-05-20,10,76.5,NA
1987-05-21,4,79,8.797752809
1987-05-22,5,79.5,NA
1987-05-23,7,80.5,-6.202247191
1987-05-24,5,76.5,NA
1987-05-25,7,79.5,-1.202247191
1987-05-26,3,80.5,NA
1987-05-27,5,79.5,4.797752809
1987-05-28,8,80,NA
1987-05-29,5,69.5,-10.20224719
1987-05-30,5,76.5,NA
1987-05-31,6,75,-7.202247191
1987-06-01,3,75,NA
1987-06-02,5,72,-7.202247191
1987-06-03,5,71,NA
1987-06-04,4,73.5,-0.202247191
1987-06-05,4,76,NA
1987-06-06,5,78.5,14.797752809
1987-06-07,6,79,NA
1987-06-08,4,76.5,1.797752809
1987-06-09,7,75,NA
1987-06-10,5,77.5,-3.202247191
1987-06-11,6,79.5,NA
1987-06-12,5,82,1.797752809
1987-06-13,6,76,NA
1987-06-14,5,81.5,-4.202247191
1987-06-15,7,84,NA
1987-06-16,10,84,7.797752809
1987-06-17,14,85.5,NA
1987-06-18,9,81,17.797752809
1987-06-19,12,83.5,NA
1987-06-20,11,84.5,-1.202247191
1987-06-21,5,84,NA
1987-06-22,13,83,-4.202247191
1987-06-23,7,84,NA
1987-06-24,10,84.5,-2.202247191
1987-06-25,4,85.5,NA
1987-06-26,8,82.5,2.797752809
1987-06-27,9,80,NA
1987-06-28,3,79,5.797752809
