date,death,tmpd,pm10tmean
1987-01-01,24,33.5,-13.12751678
1987-01-02,24,37,NA
1987-01-03,20,36,-28.12751678
1987-01-04,26,32,NA
1987-01-05,23,33.5,NA
1987-01-06,23,32.5,NA
1987-01-07,21,42.5,14.872483221
1987-01-08,28,36,NA
1987-01-09,20,38,-8.304347826
1987-01-10,26,37.5,NA
1987-01-11,25,37.5,-12.12751678
1987-01-12,17,37,NA
1987-01-13,22,40,-14.12751678
1987-01-14,22,42.5,NA
1987-01-15,20,54,-4.5
1987-01-16,20,45,NA
1987-01-17,23,31,-20.12751678
1987-01-18,25,33,NA
1987-01-19,12,35.5,-16.12751678
1987-01-20,23,37,NA
1987-01-21,23,36,-8.902173913
1987-01-22,31,29,NA
1987-01-23,17,21.5,NA
1987-01-24,26,14,NA
1987-01-25,20,10.5,NA
1987-01-26,24,21.5,NA
1987-01-27,26,15.5,NA
1987-01-28,23,15,NA
1987-01-29,26,28.5,8.8724832215
1987-01-30,29,33,NA
1987-01-31,18,35.5,-31.12751678
1987-02-01,24,30,NA
1987-02-02,25,42.5,19.872483221
1987-02-03,17,42,NA
1987-02-04,19,38.5,-22.12751678
1987-02-05,28,33,NA
1987-02-06,24,37,94.872483221
1987-02-07,15,38.5,NA
1987-02-08,26,38.5,-3.5
1987-02-09,29,30,NA
1987-02-10,18,32.5,NA
1987-02-11,17,35,NA
1987-02-12,21,33,19.872483221
1987-02-13,31,37.5,NA
1987-02-14,13,29,-7.127516779
1987-02-15,17,23.5,NA
1987-02-16,22,21.5,-14.12751678
1987-02-17,24,34,NA
1987-02-18,23,36,NA
1987-02-19,21,34,NA
1987-02-20,16,33,-10.90217391
1987-02-21,26,38,NA
1987-02-22,11,34.5,13.872483221
1987-02-23,22,38.5,NA
1987-02-24,21,38,NA
1987-02-25,13,36.5,NA
1987-02-26,27,34,-9.5
1987-02-27,18,34,NA
1987-02-28,21,35,-13.12751678
1987-03-01,19,56,NA
1987-03-02,32,46.5,-20.12751678
1987-03-03,31,44.5,NA
1987-03-04,22,32.5,-25.12751678
1987-03-05,12,34,NA
1987-03-06,27,40,29.872483221
1987-03-07,19,55,NA
1987-03-08,27,58.5,27.872483221
1987-03-09,18,49,NA
1987-03-10,18,29,-13.12751678
1987-03-11,10,28,NA
1987-03-12,25,38.5,-9.127516779
1987-03-13,27,38.5,NA
1987-03-14,32,38.5,-9.127516779
1987-03-15,19,38,NA
1987-03-16,19,41.5,9.8724832215
1987-03-17,19,41,NA
1987-03-18,9,45.5,5.8724832215
1987-03-19,16,46.5,NA
1987-03-20,20,46,-35.12751678
1987-03-21,19,46.5,NA
1987-03-22,23,52,-31.90217391
1987-03-23,34,51.5,NA
1987-03-24,19,53.5,NA
1987-03-25,17,51,NA
1987-03-26,23,55.5,-29.12751678
1987-03-27,21,58.5,NA
