date,death,tmpd,pm10tmean
1987-01-01,21,31.5,NA
1987-01-02,19,35,NA
1987-01-03,9,27.5,-18.84856008
1987-01-04,9,28,NA
1987-01-05,16,30.5,-26.70432432
1987-01-06,15,30.5,NA
1987-01-07,15,39,-28.70432432
1987-01-08,18,31,NA
1987-01-09,13,32,-0.704324324
1987-01-10,21,36,NA
1987-01-11,13,37.5,NA
1987-01-12,14,34.5,NA
1987-01-13,17,34,NA
1987-01-14,17,37,NA
1987-01-15,13,45.5,13.736842105
1987-01-16,23,35.5,NA
1987-01-17,8,21,-13.70432432
1987-01-18,14,26,NA
1987-01-19,16,27.5,13.295675676
1987-01-20,15,23.5,NA
1987-01-21,12,24.5,34.430856706
1987-01-22,14,30.5,-9.263157895
1987-01-23,8,31.5,NA
1987-01-24,12,14,NA
1987-01-25,11,17.5,20.295675676
1987-01-26,15,18,NA
1987-01-27,19,16.5,16.566037736
1987-01-28,10,19,NA
1987-01-29,10,26,-21.70432432
1987-01-30,22,26.5,NA
1987-01-31,14,32,-16.70432432
1987-02-01,19,30.5,NA
1987-02-02,13,36.5,16.736842105
1987-02-03,17,40.5,NA
1987-02-04,9,35.5,-28.70432432
1987-02-05,18,23,NA
1987-02-06,6,30,34.295675676
1987-02-07,12,37,NA
1987-02-08,15,34.5,-5.263157895
1987-02-09,20,27.5,NA
1987-02-10,16,23.5,NA
1987-02-11,15,29.5,NA
1987-02-12,11,26.5,NA
1987-02-13,14,16.5,NA
1987-02-14,11,9.5,-9.433962264
1987-02-15,15,8,NA
1987-02-16,11,19.5,NA
1987-02-17,16,29.5,NA
1987-02-18,18,29,NA
1987-02-19,19,28.5,NA
1987-02-20,8,29,-11.34856008
1987-02-21,10,32.5,NA
1987-02-22,6,36.5,NA
1987-02-23,15,33.5,NA
1987-02-24,16,33.5,NA
1987-02-25,8,33.5,NA
1987-02-26,16,33,-5.348560079
1987-02-27,23,32,NA
1987-02-28,16,37.5,NA
1987-03-01,10,37,NA
1987-03-02,16,32,NA
1987-03-03,26,28.5,NA
1987-03-04,11,28,5.7368421053
1987-03-05,16,27.5,NA
1987-03-06,19,38.5,-20.70432432
1987-03-07,16,51.5,NA
1987-03-08,10,52.5,16.295675676
1987-03-09,15,36.5,NA
1987-03-10,12,19.5,-2.848560079
1987-03-11,11,21.5,NA
1987-03-12,11,30.5,NA
1987-03-13,16,33.5,NA
1987-03-14,14,33.5,NA
1987-03-15,17,33.5,NA
1987-03-16,20,32.5,-3.348560079
1987-03-17,12,31.5,NA
1987-03-18,17,38,NA
1987-03-19,12,38.5,NA
1987-03-20,11,38,NA
1987-03-21,14,35.5,NA
1987-03-22,12,38,-20.34856008
1987-03-23,13,38.5,NA
1987-03-24,14,44.5,-25.70432432
1987-03-25,8,51.5,NA
1987-03-26,18,50,7.2956756757
1987-03-27,11,51.5,NA
1987-03-28,14,46,-4.348560079
1987-03-29,13,49,NA
1987-03-30,18,52,NA
1987-03-31,18,52.5,NA
1987-04-01,15,42.5,-26.70432432
1987-04-02,18,43,NA
1987-04-03,10,47,11.01625889
1987-04-04,17,47,NA
1987-04-05,17,43,-24.70432432
1987-04-06,18,41,NA
1987-04-07,11,42,NA
1987-04-08,11,44,NA
1987-04-09,18,44.5,2.7368421053
1987-04-10,10,53,NA
1987-04-11,15,56.5,12.295675676
1987-04-12,22,58,NA
1987-04-13,7,39.5,NA
1987-04-14,15,40,NA
1987-04-15,17,45.5,15.51625889
1987-04-16,12,41,NA
1987-04-17,10,41,15.295675676
1987-04-18,15,46.5,NA
1987-04-19,20,50.5,2.4156756757
1987-04-20,18,48,NA
1987-04-21,17,50,-2.48374111
1987-04-22,9,48,NA
1987-04-23,20,41,NA
1987-04-24,17,49.5,NA
1987-04-25,17,44,NA
1987-04-26,13,43,NA
1987-04-27,16,40,-17.98374111
1987-04-28,11,36,NA
1987-04-29,14,41.5,-5.704324324
1987-04-30,14,47.5,NA
1987-05-01,16,49.5,2.2956756757
1987-05-02,19,52.5,NA
1987-05-03,17,47.5,-5.433962264
1987-05-04,20,43.5,NA
1987-05-05,18,41,NA
1987-05-06,12,46,NA
1987-05-07,15,61.5,-6.704324324
1987-05-08,12,51,NA
1987-05-09,11,58,-5.848560079
1987-05-10,16,71.5,NA
1987-05-11,9,61,4.2956756757
1987-05-12,11,64,NA
1987-05-13,6,49.5,NA
1987-05-14,13,54,NA
1987-05-15,21,57.5,-9.433962264
1987-05-16,14,53,NA
1987-05-17,18,68.5,NA
1987-05-18,25,56,NA
1987-05-19,15,49.5,NA
1987-05-20,15,48.5,NA
1987-05-21,13,56.5,4.5660377358
1987-05-22,14,66,NA
1987-05-23,12,58,NA
1987-05-24,11,46,NA
1987-05-25,17,48.5,NA
1987-05-26,12,56,NA
1987-05-27,10,58,-7.433962264
1987-05-28,18,69,NA
1987-05-29,17,69.5,NA
1987-05-30,15,77,NA
1987-05-31,15,82,NA
1987-06-01,10,74.5,NA
1987-06-02,14,59,13.566037736
1987-06-03,12,53.5,NA
1987-06-04,8,55,NA
1987-06-05,14,61,NA
1987-06-06,12,62.5,NA
1987-06-07,15,58.5,NA
1987-06-08,17,68,19.736842105
1987-06-09,15,68,NA
1987-06-10,18,64,NA
1987-06-11,8,65,NA
1987-06-12,16,63,NA
1987-06-13,10,69,NA
1987-06-14,14,68.5,-5.204324324
1987-06-15,11,76.5,NA
1987-06-16,7,72,NA
1987-06-17,9,63.5,NA
1987-06-18,11,68,NA
1987-06-19,12,73,NA
1987-06-20,19,70.5,21.566037736
1987-06-21,9,62.5,NA
1987-06-22,12,62.5,NA
1987-06-23,18,56.5,NA
1987-06-24,15,67.5,NA
1987-06-25,19,60,NA
1987-06-26,16,56,-7.263157895
1987-06-27,17,59,NA
1987-06-28,10,66.5,NA
1987-06-29,6,71.5,NA
1987-06-30,20,76.5,NA
1987-07-01,21,72.5,NA
1987-07-02,9,62.5,-4.704324324
1987-07-03,13,59.5,NA
1987-07-04,14,71.5,NA
1987-07-05,21,69,NA
1987-07-06,19,69,NA
1987-07-07,18,66,NA
1987-07-08,15,66.5,-11.88346105
1987-07-09,20,72.5,NA
1987-07-10,10,70.5,NA
1987-07-11,13,73,NA
1987-07-12,19,76,NA
1987-07-13,8,76,NA
1987-07-14,11,77,30.744931507
1987-07-15,11,72.5,NA
1987-07-16,9,65,NA
1987-07-17,11,68,NA
1987-07-18,17,78.5,NA
1987-07-19,21,75,NA
1987-07-20,16,75,-2.807222222
1987-07-21,24,69.5,NA
1987-07-22,7,66.5,NA
1987-07-23,11,70.5,NA
1987-07-24,19,82.5,NA
1987-07-25,10,83.5,NA
1987-07-26,13,79,-1.688848089
1987-07-27,14,74,NA
1987-07-28,12,72.5,NA
1987-07-29,19,63.5,NA
1987-07-30,16,70,NA
1987-07-31,15,69,NA
1987-08-01,5,71,-14.96550725
1987-08-02,13,70.5,NA
1987-08-03,20,73,NA
1987-08-04,17,76,NA
1987-08-05,10,72,NA
1987-08-06,18,67.5,NA
1987-08-07,20,66.5,-5.759259259
1987-08-08,12,75,NA
1987-08-09,9,69,NA
1987-08-10,8,64.5,NA
1987-08-11,20,70.5,NA
1987-08-12,17,64.5,NA
1987-08-13,16,66,21.818181818
1987-08-14,10,70,NA
1987-08-15,16,77,NA
1987-08-16,13,80.5,NA
1987-08-17,10,84,NA
1987-08-18,14,85.5,NA
1987-08-19,15,75,5.7037037037
1987-08-20,19,76,NA
1987-08-21,12,73.5,NA
1987-08-22,13,72.5,NA
1987-08-23,11,69.5,NA
1987-08-24,16,64.5,NA
1987-08-25,10,66,-1.509433962
1987-08-26,11,66,NA
1987-08-27,11,60.5,NA
1987-08-28,15,60.5,NA
1987-08-29,21,57.5,NA
1987-08-30,11,62,NA
1987-08-31,16,67.5,2.4909090909
1987-09-01,15,67,NA
1987-09-02,13,63,NA
1987-09-03,8,64,NA
1987-09-04,9,59,NA
1987-09-05,18,66,NA
1987-09-06,14,68,-15.72314286
1987-09-07,9,71.5,NA
1987-09-08,23,71.5,NA
1987-09-09,11,74.5,NA
1987-09-10,14,74.5,NA
1987-09-11,14,64.5,NA
1987-09-12,10,61,-10.34615385
1987-09-13,15,63,NA
1987-09-14,17,72,NA
1987-09-15,10,68,NA
1987-09-16,11,70,NA
1987-09-17,16,67,NA
1987-09-18,16,60.5,-11.91014085
1987-09-19,16,59.5,NA
1987-09-20,14,58,NA
1987-09-21,10,61,NA
1987-09-22,15,60,NA
1987-09-23,10,63.5,NA
1987-09-24,16,67,-9.490566038
1987-09-25,10,57,NA
1987-09-26,14,58.5,NA
1987-09-27,15,59,NA
1987-09-28,12,66.5,NA
1987-09-29,21,73,NA
1987-09-30,14,69,-7.716981132
1987-10-01,14,59.5,NA
1987-10-02,14,57.5,NA
1987-10-03,13,65,NA
1987-10-04,12,52,NA
1987-10-05,17,55.5,NA
1987-10-06,14,62,-3.62962963
1987-10-07,9,63.5,NA
1987-10-08,10,56.5,NA
1987-10-09,11,52,NA
1987-10-10,12,61,NA
1987-10-11,19,49,NA
1987-10-12,11,46,-16.05171429
1987-10-13,20,48,NA
1987-10-14,6,49,NA
1987-10-15,15,52,NA
1987-10-16,23,53.5,NA
1987-10-17,14,54.5,NA
1987-10-18,13,63,-3.696428571
1987-10-19,20,59,NA
1987-10-20,11,55.5,NA
1987-10-21,13,57.5,NA
1987-10-22,6,50,NA
1987-10-23,11,51,NA
1987-10-24,13,58.5,-6.674242424
1987-10-25,14,54,NA
1987-10-26,12,47,NA
1987-10-27,7,47.5,NA
1987-10-28,12,57,NA
1987-10-29,10,48.5,NA
1987-10-30,12,47,-0.379310345
1987-10-31,16,51,NA
1987-11-01,12,48.5,NA
1987-11-02,19,42.5,NA
1987-11-03,11,53,NA
1987-11-04,22,66.5,NA
1987-11-05,19,56,27.282258065
1987-11-06,8,39,NA
1987-11-07,14,38.5,NA
1987-11-08,10,50.5,NA
1987-11-09,15,58.5,NA
1987-11-10,12,41.5,NA
1987-11-11,18,33,-9.225
1987-11-12,19,34.5,NA
1987-11-13,20,41.5,NA
1987-11-14,22,48,NA
1987-11-15,15,44,NA
1987-11-16,12,41.5,NA
1987-11-17,16,49.5,-6.804118347
1987-11-18,14,60.5,NA
1987-11-19,19,46,NA
1987-11-20,15,40,NA
1987-11-21,20,25.5,NA
1987-11-22,16,26.5,NA
1987-11-23,12,37.5,-0.965517241
1987-11-24,14,52.5,25.903206292
1987-11-25,14,47,NA
1987-11-26,19,39,NA
1987-11-27,11,32,NA
1987-11-28,17,33,NA
1987-11-29,10,39,12.416666667
1987-11-30,24,52,NA
1987-12-01,17,46.5,NA
1987-12-02,15,39.5,NA
1987-12-03,14,37,NA
1987-12-04,15,37.5,NA
1987-12-05,12,31.5,-15.60369674
1987-12-06,13,34,3.001566416
1987-12-07,11,37,NA
1987-12-08,16,37.5,NA
1987-12-09,17,48.5,NA
1987-12-10,16,51.5,NA
1987-12-11,8,43,-16.89473684
1987-12-12,10,38,-10.90239234
1987-12-13,11,40,NA
1987-12-14,13,41.5,NA
1987-12-15,14,37,NA
1987-12-16,14,37,NA
1987-12-17,21,31,-16.85964912
1987-12-18,17,28,NA
1987-12-19,7,32.5,NA
1987-12-20,16,33.5,NA
1987-12-21,11,41,NA
1987-12-22,8,39.5,NA
1987-12-23,10,39,28.701754386
1987-12-24,12,38,NA
1987-12-25,4,47,NA
1987-12-26,8,38.5,NA
1987-12-27,16,32,NA
1987-12-28,15,29.5,NA
1987-12-29,20,17.5,2.5535714286
1987-12-30,13,10,NA
1987-12-31,16,27,NA
1988-01-01,11,41,NA
1988-01-02,15,29,NA
1988-01-03,10,25,NA
1988-01-04,11,30.5,2.8823529412
1988-01-05,19,19.5,NA
1988-01-06,10,16.5,NA
1988-01-07,15,13,NA
1988-01-08,20,21.5,NA
1988-01-09,20,26.5,NA
1988-01-10,13,24,8.5087719298
1988-01-11,11,18.5,NA
1988-01-12,17,26,NA
1988-01-13,20,30,NA
1988-01-14,13,5.5,NA
1988-01-15,14,9.5,NA
1988-01-16,20,26.5,22.604010695
1988-01-17,18,36,NA
1988-01-18,18,41,NA
1988-01-19,6,41.5,NA
1988-01-20,18,34.5,NA
1988-01-21,13,41.5,NA
1988-01-22,19,31,-0.321363636
1988-01-23,15,29,NA
1988-01-24,21,32.5,NA
1988-01-25,12,36,NA
1988-01-26,16,31.5,NA
1988-01-27,15,21.5,NA
1988-01-28,14,20,8.3571428571
1988-01-29,9,22,NA
1988-01-30,9,36,NA
1988-01-31,21,48.5,NA
1988-02-01,18,52,NA
1988-02-02,9,42.5,NA
1988-02-03,12,26,-10.50285714
1988-02-04,14,28,-3.931428571
1988-02-05,21,18,NA
1988-02-06,11,18.5,NA
1988-02-07,12,15,NA
1988-02-08,27,29,NA
1988-02-09,15,26.5,7.44
1988-02-10,15,33,5.5503571429
1988-02-11,17,27.5,NA
1988-02-12,17,34,NA
1988-02-13,18,27.5,NA
1988-02-14,13,25.5,NA
1988-02-15,17,37,0.1503571429
1988-02-16,10,39,NA
1988-02-17,13,35,NA
1988-02-18,20,41,11.185185185
1988-02-19,12,36.5,NA
1988-02-20,13,44,NA
1988-02-21,12,30.5,-3.594090909
1988-02-22,16,28.5,NA
1988-02-23,19,50,NA
1988-02-24,14,34.5,NA
1988-02-25,21,29.5,NA
1988-02-26,20,27.5,NA
1988-02-27,16,30,-5.001363636
1988-02-28,11,30,NA
1988-02-29,15,35,NA
1988-03-01,14,33,NA
1988-03-02,16,32.5,-6.46
1988-03-03,12,45.5,NA
1988-03-04,15,32.5,-4.46
1988-03-05,11,31.5,NA
1988-03-06,21,35.5,NA
1988-03-07,21,44,NA
1988-03-08,8,37.5,NA
1988-03-09,13,43,NA
1988-03-10,15,42,-7.607142857
1988-03-11,17,38,NA
1988-03-12,16,37.5,-4.4
1988-03-13,18,38.5,NA
1988-03-14,17,34.5,NA
1988-03-15,15,36,NA
1988-03-16,20,38,-7.218181818
1988-03-17,26,42.5,NA
1988-03-18,13,40.5,-1.218181818
1988-03-19,14,39.5,-1.910853432
1988-03-20,13,31,NA
1988-03-21,19,18.5,NA
1988-03-22,12,28.5,3.7090909091
1988-03-23,17,37,NA
1988-03-24,17,54.5,NA
1988-03-25,19,46,NA
1988-03-26,13,55.5,NA
1988-03-27,11,49.5,NA
1988-03-28,11,41.5,-10.76785714
1988-03-29,19,40,NA
1988-03-30,13,41.5,NA
1988-03-31,7,46,NA
1988-04-01,19,46,NA
1988-04-02,23,49.5,NA
1988-04-03,16,46.5,-8.089285714
1988-04-04,16,55,NA
1988-04-05,16,53.5,NA
1988-04-06,7,41,NA
1988-04-07,15,40.5,NA
1988-04-08,15,41.5,NA
1988-04-09,19,49,-12
1988-04-10,15,55,NA
1988-04-11,14,44,NA
1988-04-12,10,39,NA
1988-04-13,8,39,NA
1988-04-14,10,38.5,NA
1988-04-15,11,41.5,-4.204545455
1988-04-16,13,41.5,NA
1988-04-17,11,49.5,NA
1988-04-18,18,50.5,NA
1988-04-19,18,43,NA
1988-04-20,16,44,NA
1988-04-21,10,47,-8.322727273
1988-04-22,19,47,NA
1988-04-23,20,44,NA
1988-04-24,15,46.5,NA
1988-04-25,21,51,NA
1988-04-26,16,53,NA
1988-04-27,14,55.5,-3.811201299
1988-04-28,21,48.5,NA
1988-04-29,17,51,NA
1988-04-30,10,46,NA
1988-05-01,13,48,NA
1988-05-02,18,44,NA
1988-05-03,19,49.5,-19.88587662
1988-05-04,19,60,NA
1988-05-05,13,60.5,NA
1988-05-06,11,52.5,NA
1988-05-07,16,55.5,NA
1988-05-08,12,47,NA
1988-05-09,9,54.5,-8.709090909
1988-05-10,8,50,NA
1988-05-11,18,52.5,NA
1988-05-12,14,57,NA
1988-05-13,12,62,NA
1988-05-14,7,56.5,NA
1988-05-15,14,58.5,-10.38149351
1988-05-16,13,58.5,NA
1988-05-17,18,55.5,NA
1988-05-18,12,52.5,NA
1988-05-19,11,49.5,NA
1988-05-20,16,54,NA
1988-05-21,7,53,-0.294642857
1988-05-22,10,58.5,NA
1988-05-23,14,71,NA
1988-05-24,13,71.5,NA
1988-05-25,14,55,NA
1988-05-26,17,57,NA
1988-05-27,13,66.5,13.722901003
1988-05-28,14,71.5,NA
1988-05-29,14,68,NA
1988-05-30,20,60,NA
1988-05-31,12,69.5,NA
1988-06-01,7,63.5,NA
1988-06-02,18,53,-12.39655172
1988-06-03,13,54,NA
1988-06-04,8,55.5,NA
1988-06-05,19,67.5,NA
1988-06-06,13,65,NA
1988-06-07,13,67,NA
1988-06-08,14,64.5,-3.339593596
1988-06-09,17,55,NA
1988-06-10,17,60,NA
1988-06-11,11,64.5,NA
1988-06-12,21,74.5,NA
1988-06-13,17,82.5,NA
1988-06-14,16,84,40.38885468
1988-06-15,15,86,NA
1988-06-16,29,80,NA
1988-06-17,14,68.5,NA
1988-06-18,11,69,NA
1988-06-19,15,73.5,NA
1988-06-20,18,77,25.293859649
1988-06-21,14,82,NA
1988-06-22,13,79,NA
1988-06-23,10,73,NA
1988-06-24,16,60,NA
1988-06-25,9,65,NA
1988-06-26,11,72,-18.27586207
1988-06-27,18,62,NA
1988-06-28,16,70,NA
1988-06-29,7,63,NA
1988-06-30,14,60,NA
1988-07-01,12,57.5,NA
1988-07-02,17,61.5,-21.58802178
1988-07-03,12,71,NA
1988-07-04,6,71,NA
1988-07-05,13,71.5,NA
1988-07-06,11,77,NA
1988-07-07,14,80,NA
1988-07-08,14,81.5,31.155172414
1988-07-09,13,80.5,NA
1988-07-10,7,80.5,NA
1988-07-11,14,85.5,NA
1988-07-12,12,77.5,NA
1988-07-13,18,74.5,NA
1988-07-14,21,77,23.946428571
1988-07-15,10,71,NA
1988-07-16,14,78.5,17.152173913
1988-07-17,10,79,NA
1988-07-18,20,74.5,NA
1988-07-19,13,73.5,NA
1988-07-20,9,71.5,12.365920097
1988-07-21,6,64.5,NA
1988-07-22,16,64.5,NA
1988-07-23,13,67,NA
1988-07-24,12,66.5,NA
1988-07-25,16,70.5,NA
1988-07-26,13,77,17.902173913
1988-07-27,8,73,NA
1988-07-28,15,74,NA
1988-07-29,14,74.5,NA
1988-07-30,19,84.5,NA
1988-07-31,12,75.5,NA
1988-08-01,15,72,23.883333333
1988-08-02,12,80.5,NA
1988-08-03,16,84.5,NA
1988-08-04,9,83,NA
1988-08-05,21,83.5,3.75
1988-08-06,10,83,NA
1988-08-07,9,80,-10.90492424
1988-08-08,17,81,NA
1988-08-09,10,80,NA
1988-08-10,14,83,NA
1988-08-11,12,84,NA
1988-08-12,16,87,NA
1988-08-13,11,85,18.886904762
1988-08-14,12,81,NA
