date,death,tmpd,pm10tmean
1987-01-01,43,34,-19.10691824
1987-01-02,40,33,NA
1987-01-03,39,28,-22.1
1987-01-04,36,26,NA
1987-01-05,39,26.5,-6.106918239
1987-01-06,43,32.5,NA
1987-01-07,48,39,17.893081761
1987-01-08,34,32,NA
1987-01-09,37,30,-7.2
1987-01-10,41,33.5,NA
1987-01-11,44,31,-6.106918239
1987-01-12,45,31.5,NA
1987-01-13,34,35.5,0.893081761
1987-01-14,46,45,NA
1987-01-15,50,39,-13.2
1987-01-16,36,28.5,NA
1987-01-17,41,29,-29.10691824
1987-01-18,30,33.5,NA
1987-01-19,38,28,-33.10691824
1987-01-20,50,26,NA
1987-01-21,35,22.5,-11
1987-01-22,39,27.5,NA
1987-01-23,46,13,13.893081761
1987-01-24,37,3,NA
1987-01-25,37,10,-23.10691824
1987-01-26,40,17,NA
1987-01-27,33,14,4.3465408805
1987-01-28,43,22,NA
1987-01-29,42,27.5,-2.106918239
1987-01-30,37,32.5,NA
1987-01-31,37,27,NA
1987-02-01,45,32.5,NA
1987-02-02,31,36.5,NA
1987-02-03,40,39,NA
1987-02-04,52,31,-3.106918239
1987-02-05,40,27,NA
1987-02-06,51,33,21.346540881
1987-02-07,29,37.5,NA
1987-02-08,34,31,2.893081761
1987-02-09,42,22,NA
1987-02-10,46,30.5,15.893081761
1987-02-11,42,32,NA
1987-02-12,40,35,-2.106918239
1987-02-13,46,27,NA
1987-02-14,40,25,-19.15345912
1987-02-15,44,14,NA
1987-02-16,41,15.5,-26.10691824
1987-02-17,28,27,NA
1987-02-18,24,26.5,-21.10691824
1987-02-19,48,26.5,NA
1987-02-20,34,28,18.346540881
1987-02-21,42,33.5,NA
1987-02-22,33,39.5,0.893081761
1987-02-23,39,35,NA
1987-02-24,40,33,-0.106918239
1987-02-25,36,29.5,NA
1987-02-26,27,32,-12.65345912
1987-02-27,39,37.5,NA
1987-02-28,38,44,-29.10691824
1987-03-01,43,44,NA
1987-03-02,40,38,-1.106918239
1987-03-03,42,30.5,NA
1987-03-04,45,27.5,-19.15345912
1987-03-05,54,36,NA
1987-03-06,44,49,16.893081761
1987-03-07,36,55,NA
1987-03-08,36,56.5,49.893081761
1987-03-09,31,37,NA
1987-03-10,50,21.5,-24.65345912
1987-03-11,39,26,NA
1987-03-12,43,31.5,-0.106918239
1987-03-13,44,32,NA
1987-03-14,51,30.5,-19.10691824
1987-03-15,38,33,NA
1987-03-16,31,29,-23.65345912
1987-03-17,45,28.5,NA
1987-03-18,32,35.5,-14.10691824
1987-03-19,50,39,NA
1987-03-20,45,38,-16.10691824
1987-03-21,31,37,NA
1987-03-22,47,38.5,-9.653459119
1987-03-23,33,44.5,NA
1987-03-24,35,57,-14.10691824
1987-03-25,45,54,NA
1987-03-26,47,43,-0.106918239
1987-03-27,37,47.5,NA
1987-03-28,34,47,10.346540881
1987-03-29,36,56.5,NA
1987-03-30,38,41.5,-32.10691824
1987-03-31,39,26.5,NA
1987-04-01,44,28.5,NA
1987-04-02,39,35,NA
1987-04-03,51,30.5,-16.65345912
1987-04-04,40,34,NA
1987-04-05,38,42,-29.10691824
1987-04-06,37,41.5,NA
1987-04-07,39,47.5,-8.106918239
1987-04-08,40,41,NA
1987-04-09,35,42.5,9.3465408805
1987-04-10,32,52,66.570093458
1987-04-11,34,52,8.893081761
1987-04-12,48,48.5,NA
1987-04-13,46,51.5,-11.10691824
1987-04-14,33,61,NA
1987-04-15,37,58,-12.2
1987-04-16,28,52.5,NA
1987-04-17,32,53.5,-18.76841239
1987-04-18,40,54,NA
1987-04-19,41,58.5,-19.10691824
1987-04-20,48,62.5,NA
1987-04-21,42,65.5,23.346540881
1987-04-22,39,50.5,NA
1987-04-23,27,57,8.2315876095
1987-04-24,41,49,NA
1987-04-25,29,47.5,-35.10691824
1987-04-26,35,53,NA
1987-04-27,37,54,13.8
1987-04-28,35,47.5,NA
1987-04-29,37,57,25.731587609
1987-04-30,35,47,NA
1987-05-01,37,48,NA
1987-05-02,31,54.5,NA
1987-05-03,53,48.5,NA
1987-05-04,38,47,NA
1987-05-05,43,49.5,NA
1987-05-06,53,52.5,NA
1987-05-07,43,55,-9.106918239
1987-05-08,36,52.5,NA
1987-05-09,31,63.5,12.846540881
1987-05-10,31,72,NA
1987-05-11,32,71.5,80.893081761
1987-05-12,47,60.5,NA
