date,death,tmpd,pm10tmean
1987-01-01,22,25.5,5.55
1987-01-02,22,32,29.327868852
1987-01-03,21,35.5,0.9650030148
1987-01-04,19,46.75,-10.82868526
1987-01-05,22,41.75,9.3606573705
1987-01-06,19,30.75,-8.672131148
1987-01-07,19,29.75,-5.828685259
1987-01-08,23,23.5,-8.828685259
1987-01-09,21,29,60.264363958
1987-01-10,15,32,19.55
1987-01-11,19,42,-1.672131148
1987-01-12,10,48.75,31.938934426
1987-01-13,24,44.5,64.360657371
1987-01-14,22,29,-1.828685259
1987-01-15,16,15.5,-3.137715082
1987-01-16,21,7.5,-1.828685259
1987-01-17,22,8,0.171314741
1987-01-18,15,26.5,-7.139342629
1987-01-19,21,19.5,-22.63934263
1987-01-20,22,14.75,-5.828685259
1987-01-21,20,21.5,0.2567403428
1987-01-22,25,24.25,37.171314741
1987-01-23,24,34.75,71.16091954
1987-01-24,19,37.75,21.171314741
1987-01-25,17,40.25,-9.828685259
1987-01-26,21,43.5,31.171314741
1987-01-27,13,48,25.92565379
1987-01-28,17,47,99.171314741
1987-01-29,15,40.25,51.171314741
1987-01-30,18,39.25,62.171314741
1987-01-31,17,41.75,19.360657371
1987-02-01,15,43.75,-0.828685259
1987-02-02,22,51.5,26.523970289
1987-02-03,15,40.25,31.171314741
1987-02-04,15,33.25,15.171314741
1987-02-05,11,34,22.171314741
1987-02-06,11,41,34.171314741
1987-02-07,15,52.75,-7.828685259
1987-02-08,8,40,10.190636955
1987-02-09,19,46.75,17.171314741
1987-02-10,17,44.75,32.171314741
1987-02-11,18,46.75,4.1661171406
1987-02-12,21,46.75,25.171314741
1987-02-13,22,45.5,10.171314741
1987-02-14,15,38.25,-10.12999598
1987-02-15,12,31.75,-13.82868526
1987-02-16,17,33,-20.82868526
1987-02-17,19,35.5,0.6661171406
1987-02-18,21,31.75,-11.82868526
1987-02-19,22,25.5,-17.82868526
1987-02-20,17,28.25,6.5663641729
1987-02-21,21,27,29.171314741
1987-02-22,15,32.5,NA
1987-02-23,14,32.5,45.171314741
1987-02-24,12,26.5,-1.828685259
1987-02-25,18,31.75,19.171314741
1987-02-26,23,21.5,-10.77387537
1987-02-27,20,21.5,1.171314741
1987-02-28,26,30,28.171314741
1987-03-01,17,35.75,16.16091954
1987-03-02,13,42.75,56.171314741
1987-03-03,14,43.75,NA
1987-03-04,23,50.75,27.116823406
1987-03-05,9,53.5,27.171314741
1987-03-06,12,54.75,24.171314741
1987-03-07,19,51,16.666117141
1987-03-08,8,33.5,-14.82868526
1987-03-09,20,21.75,NA
1987-03-10,20,36,32.955477717
1987-03-11,25,43,21.171314741
1987-03-12,12,44.75,15.171314741
1987-03-13,23,52.75,1.1609195402
1987-03-14,22,47.5,-7.828685259
1987-03-15,18,41.75,-3.828685259
1987-03-16,20,36,-30.33863636
1987-03-17,23,33.25,-9.828685259
1987-03-18,19,45,4.171314741
1987-03-19,15,48.25,20.16091954
1987-03-20,16,39.25,NA
1987-03-21,19,39,-17.82868526
1987-03-22,26,31.75,-24.57931517
1987-03-23,15,35,NA
1987-03-24,14,31.75,-2.828685259
1987-03-25,17,33.75,-10.82868526
1987-03-26,17,40.75,1.171314741
1987-03-27,13,29,-1.828685259
1987-03-28,17,19.75,-17.57931517
1987-03-29,19,14.75,-8.828685259
1987-03-30,20,29.25,NA
1987-03-31,20,46.75,14.16091954
1987-04-01,21,41.5,NA
1987-04-02,29,30.75,2.171314741
1987-04-03,19,43.25,0.9429549479
1987-04-04,11,42,NA
1987-04-05,17,41,-19.82868526
1987-04-06,20,41,12.171314741
