date,death,tmpd,pm10tmean
1987-01-01,48,48.5,2.4823943662
1987-01-02,42,45.5,NA
1987-01-03,34,53,-26.51760563
1987-01-04,24,44,-32.51760563
1987-01-05,34,44.5,-3.83756994
1987-01-06,34,56,-6.517605634
1987-01-07,46,62,-7.83756994
1987-01-08,45,60,-10.51760563
1987-01-09,43,53,-13.33756994
1987-01-10,47,44.5,-27.51760563
1987-01-11,35,41,-10.33756994
1987-01-12,45,45.5,NA
1987-01-13,41,52,-13.33756994
1987-01-14,42,55,-18.51760563
1987-01-15,44,58,-1.83756994
1987-01-16,40,58,NA
1987-01-17,58,55.5,-21.33756994
1987-01-18,39,45.5,-31.51760563
1987-01-19,44,41.5,-12.15753425
1987-01-20,48,41,NA
1987-01-21,49,40,-16.33756994
1987-01-22,40,42,-4.517605634
1987-01-23,27,44,4.1624300598
1987-01-24,38,62,-13.51760563
1987-01-25,37,47,-14.33756994
1987-01-26,37,51,NA
1987-01-27,50,55,2.1624300598
1987-01-28,46,62,-18.51760563
1987-01-29,48,69,-12.51760563
1987-01-30,37,60.5,NA
1987-01-31,31,55.5,14.482394366
1987-02-01,42,63.5,-17.51760563
1987-02-02,38,58.5,4.1624300598
1987-02-03,40,60.5,8.4823943662
1987-02-04,45,62.5,-10.83756994
1987-02-05,37,61.5,-17.51760563
1987-02-06,36,53,-15.33756994
1987-02-07,42,54,-15.51760563
1987-02-08,44,60,-14.83756994
1987-02-09,35,53,NA
1987-02-10,43,52.5,-2.33756994
1987-02-11,52,65,-19.51760563
1987-02-12,33,63.5,-4.33756994
1987-02-13,30,63,NA
1987-02-14,29,66,-25.51760563
1987-02-15,33,62.5,-20.51760563
1987-02-16,37,52,-23.83756994
1987-02-17,39,45.5,NA
1987-02-18,36,44,-9.33756994
1987-02-19,38,44,-6.517605634
1987-02-20,44,47,-22.51760563
1987-02-21,42,46.5,-22.51760563
1987-02-22,38,53.5,-22.51760563
1987-02-23,41,51,NA
1987-02-24,54,50.5,-19.33756994
1987-02-25,44,54,-23.51760563
1987-02-26,39,59,-16.83756994
1987-02-27,48,66.5,NA
1987-02-28,31,60,-25.83756994
1987-03-01,39,55,-22.51760563
1987-03-02,42,55,-4.83756994
1987-03-03,27,56,NA
1987-03-04,42,60,-4.33756994
1987-03-05,39,57,8.4823943662
1987-03-06,49,58,8.4823943662
1987-03-07,44,58,-15.51760563
1987-03-08,42,59.5,-4.33756994
1987-03-09,42,61.5,NA
1987-03-10,45,59.5,-12.83756994
1987-03-11,36,47,-9.517605634
1987-03-12,42,49,2.1624300598
1987-03-13,36,50.5,NA
1987-03-14,47,57.5,-10.51760563
1987-03-15,42,68,-20.51760563
1987-03-16,40,68.5,-1.33756994
1987-03-17,33,65.5,-15.51760563
1987-03-18,31,64,-11.51760563
1987-03-19,36,64,15.482394366
1987-03-20,36,66.5,1.6624300598
1987-03-21,41,65.5,-13.51760563
1987-03-22,43,68.5,-16.51760563
1987-03-23,53,64.5,NA
1987-03-24,39,57,-2.517605634
1987-03-25,40,60,-8.517605634
1987-03-26,42,64,-7.517605634
1987-03-27,31,63,NA
1987-03-28,34,65,-3.33756994
1987-03-29,40,48.5,-22.51760563
1987-03-30,54,44,-20.51760563
1987-03-31,30,49.5,-9.517605634
1987-04-01,43,59,-7.517605634
1987-04-02,41,57,-4.517605634
1987-04-03,36,47.5,-10.83756994
1987-04-04,31,50.5,-38.51760563
1987-04-05,29,52,-13.33756994
1987-04-06,36,55.5,NA
1987-04-07,41,58.5,-4.33756994
1987-04-08,44,57.5,2.4823943662
1987-04-09,41,62.5,-1.33756994
1987-04-10,40,70.5,NA
1987-04-11,40,74,-4.157534247
1987-04-12,44,75,-11.51760563
1987-04-13,38,68.5,-17.51760563
1987-04-14,43,64.5,-0.517605634
1987-04-15,40,67,8.6624300598
1987-04-16,31,71,11.482394366
1987-04-17,35,71.5,8.1624300598
1987-04-18,45,75,-17.51760563
1987-04-19,40,74.5,-4.33756994
1987-04-20,37,74.5,NA
1987-04-21,42,72,8.1624300598
1987-04-22,34,70.5,-5.517605634
1987-04-23,38,70.5,-3.517605634
1987-04-24,31,74,NA
1987-04-25,32,70,4.6624300598
1987-04-26,31,69.5,NA
1987-04-27,34,73,13.16243006
1987-04-28,31,76,11.482394366
1987-04-29,29,77,11.66243006
1987-04-30,29,75.5,4.4823943662
1987-05-01,32,74,5.1624300598
1987-05-02,31,77,-0.517605634
1987-05-03,38,72,3.6624300598
1987-05-04,43,71.5,NA
1987-05-05,38,75.5,7.8424657534
1987-05-06,32,71.5,-6.517605634
1987-05-07,32,72.5,-6.517605634
1987-05-08,33,72,NA
1987-05-09,31,73.5,-5.83756994
1987-05-10,37,73,-6.517605634
1987-05-11,40,76,-1.83756994
1987-05-12,33,73,-9.517605634
1987-05-13,34,77,-7.33756994
1987-05-14,36,79,-0.517605634
1987-05-15,33,77,13.16243006
1987-05-16,34,78,-3.517605634
1987-05-17,42,77,-11.83756994
1987-05-18,31,80.5,NA
1987-05-19,30,80,-0.83756994
1987-05-20,30,77.5,-8.517605634
1987-05-21,27,82,-5.33756994
1987-05-22,31,80.5,NA
1987-05-23,27,80.5,-8.517605634
1987-05-24,36,77.5,-17.51760563
1987-05-25,39,80.5,-20.51760563
1987-05-26,30,81.5,NA
1987-05-27,26,82,-6.33756994
1987-05-28,36,82,8.4823943662
1987-05-29,31,71.5,-15.33756994
1987-05-30,37,77,-8.517605634
1987-05-31,27,81,-25.51760563
1987-06-01,32,81,NA
1987-06-02,36,81,-12.33756994
1987-06-03,47,79.5,-17.51760563
1987-06-04,34,77.5,3.8424657534
1987-06-05,28,77.5,NA
1987-06-06,38,78,10.16243006
1987-06-07,29,78,-2.517605634
1987-06-08,40,78.5,6.4823943662
1987-06-09,26,75,-18.51760563
1987-06-10,39,75.5,-18.15753425
1987-06-11,37,77.5,NA
1987-06-12,38,79,-8.83756994
1987-06-13,38,82,NA
1987-06-14,33,82.5,-13.83756994
1987-06-15,42,81.5,NA
1987-06-16,29,82.5,0.8424657534
1987-06-17,50,82.5,-0.517605634
1987-06-18,39,81,-13.83756994
