date,death,tmpd,pm10tmean
1987-01-01,184,54.5,NA
1987-01-02,190,58.5,NA
1987-01-03,175,55.25,9.0073891626000009
1987-01-04,171,54.75,NA
1987-01-05,162,54.5,NA
1987-01-06,174,49.75,NA
1987-01-07,145,53.5,NA
1987-01-08,187,52.5,NA
1987-01-09,183,54,13.086206897
1987-01-10,173,56,11.928571429
1987-01-11,158,61.5,NA
1987-01-12,185,61.5,NA
1987-01-13,170,55.75,NA
1987-01-14,174,56.25,NA
1987-01-15,180,51.5,-20.99261084
1987-01-16,179,47,NA
1987-01-17,170,44.75,NA
1987-01-18,196,49.25,NA
1987-01-19,177,51,NA
1987-01-20,162,54,NA
1987-01-21,163,50.75,40.007389163
1987-01-22,166,52.25,NA
1987-01-23,166,53.5,NA
1987-01-24,179,54.25,NA
1987-01-25,164,60,NA
1987-01-26,184,67.25,NA
1987-01-27,173,60.5,63.448275862
1987-01-28,180,58.5,NA
1987-01-29,172,55.5,NA
1987-01-30,190,54.75,NA
1987-01-31,160,54.25,NA
1987-02-01,165,56.25,NA
1987-02-02,151,57.75,59.448275862
1987-02-03,167,57.5,NA
1987-02-04,174,59.25,NA
1987-02-05,192,61,NA
1987-02-06,169,65,NA
1987-02-07,162,70.25,NA
1987-02-08,187,67.5,-19.99261084
1987-02-09,184,61.25,NA
1987-02-10,184,63.25,NA
1987-02-11,144,60.25,NA
1987-02-12,170,60.25,NA
1987-02-13,155,58.5,NA
1987-02-14,155,59.5,-33.9137931
1987-02-15,120,56.75,NA
1987-02-16,157,61.75,NA
1987-02-17,143,57.25,NA
1987-02-18,154,58.25,NA
1987-02-19,168,60.75,NA
1987-02-20,160,59.75,-32.49261084
1987-02-21,171,53.5,NA
1987-02-22,145,53.75,NA
1987-02-23,164,50.5,NA
1987-02-24,168,47,NA
1987-02-25,153,49,NA
1987-02-26,148,51.25,-26.99261084
1987-02-27,174,52.5,NA
1987-02-28,164,54,NA
1987-03-01,175,55.25,NA
1987-03-02,175,58,NA
1987-03-03,162,62.5,NA
1987-03-04,179,67,-5.071428571
1987-03-05,162,61.75,NA
1987-03-06,146,61.5,NA
1987-03-07,148,59.25,NA
1987-03-08,151,59,NA
1987-03-09,165,60,NA
1987-03-10,163,58.75,-4.208791209
1987-03-11,165,60.5,NA
1987-03-12,158,61.25,-17.34615385
1987-03-13,166,60,NA
1987-03-14,149,56.75,NA
1987-03-15,179,55.75,NA
1987-03-16,162,55.75,-33.99261084
1987-03-17,162,56.75,NA
1987-03-18,159,56.25,NA
1987-03-19,149,56.75,NA
1987-03-20,131,54.25,NA
1987-03-21,160,51.25,NA
1987-03-22,162,52.5,-38.31157635
1987-03-23,188,54.25,NA
1987-03-24,150,56.75,NA
1987-03-25,160,60.5,NA
1987-03-26,163,61.5,NA
1987-03-27,177,58.25,NA
1987-03-28,180,63,-12.31157635
1987-03-29,166,61.75,NA
1987-03-30,155,65.75,NA
1987-03-31,194,65.5,NA
1987-04-01,156,60,NA
1987-04-02,152,59.25,NA
1987-04-03,172,58.75,-34.49261084
1987-04-04,165,55.25,NA
1987-04-05,137,58.25,NA
1987-04-06,165,60.75,NA
1987-04-07,176,65.75,NA
1987-04-08,185,67.75,NA
1987-04-09,151,68.25,-4.129973475
1987-04-10,178,62.25,NA
1987-04-11,154,61.25,NA
1987-04-12,147,61.5,NA
1987-04-13,165,66.5,NA
1987-04-14,164,71.25,NA
1987-04-15,157,69,19.653846154
1987-04-16,162,63.75,19.086206897
1987-04-17,169,59.5,NA
1987-04-18,146,61.25,NA
1987-04-19,130,64,NA
1987-04-20,146,68.5,NA
1987-04-21,163,74.75,16.688423645
1987-04-22,157,74.75,NA
1987-04-23,136,65.5,NA
1987-04-24,143,64.75,NA
1987-04-25,121,64,NA
1987-04-26,140,63.75,NA
1987-04-27,134,62.5,23.007389163
1987-04-28,159,64.25,NA
1987-04-29,159,61.25,NA
1987-04-30,135,62.75,NA
1987-05-01,152,63,NA
1987-05-02,161,63.5,NA
1987-05-03,151,67.5,-5.492610837
1987-05-04,157,70.75,NA
1987-05-05,153,67.75,NA
1987-05-06,143,66.5,NA
1987-05-07,133,67.25,NA
1987-05-08,157,67.75,NA
1987-05-09,151,65.25,0.6884236453
1987-05-10,137,66.25,NA
1987-05-11,151,69.75,NA
1987-05-12,157,70.5,NA
1987-05-13,154,65.75,NA
1987-05-14,140,66.5,NA
1987-05-15,158,65.75,9.6884236453
1987-05-16,146,66.5,NA
1987-05-17,134,67.25,NA
1987-05-18,148,65.5,NA
1987-05-19,153,63,NA
1987-05-20,132,62.25,NA
1987-05-21,158,63.75,-26.31157635
1987-05-22,147,62.25,NA
1987-05-23,161,64.25,NA
1987-05-24,138,62.5,NA
1987-05-25,138,61.75,NA
1987-05-26,150,60.5,NA
1987-05-27,154,61,-21.20879121
1987-05-28,142,61.75,NA
1987-05-29,147,61.5,NA
1987-05-30,143,64,NA
1987-05-31,164,67.25,NA
1987-06-01,162,67,NA
1987-06-02,157,67.5,10.791208791
1987-06-03,147,67.25,NA
1987-06-04,151,67.5,NA
1987-06-05,153,69.25,NA
1987-06-06,137,66,NA
1987-06-07,152,66.5,NA
1987-06-08,142,66,-10.81157635
1987-06-09,133,66,NA
1987-06-10,163,65,NA
1987-06-11,149,64.75,NA
1987-06-12,138,64,NA
1987-06-13,139,64.75,NA
1987-06-14,141,64.5,-17.99261084
1987-06-15,157,64.25,NA
1987-06-16,152,66.25,NA
1987-06-17,157,65.5,NA
1987-06-18,144,65.5,NA
1987-06-19,146,65.75,12.928571429
1987-06-20,171,64.75,5.0862068966
1987-06-21,159,66,NA
1987-06-22,166,68.25,NA
1987-06-23,151,67.75,NA
1987-06-24,137,67.25,NA
1987-06-25,168,67,NA
