date,death,tmpd,pm10tmean
1987-01-01,39,66.5,NA
1987-01-02,53,56.5,NA
1987-01-03,57,60,-5.285714286
1987-01-04,64,65.5,NA
1987-01-05,62,58,NA
1987-01-06,46,67.5,NA
1987-01-07,61,69,NA
1987-01-08,47,69.5,NA
1987-01-09,46,68,10.714285714
1987-01-10,40,73,NA
1987-01-11,45,62,NA
1987-01-12,47,53.5,NA
1987-01-13,48,57,NA
1987-01-14,61,62,NA
1987-01-15,51,71,-8.285714286
1987-01-16,47,73.5,NA
1987-01-17,48,76.5,NA
1987-01-18,49,78,NA
1987-01-19,46,80,NA
1987-01-20,44,76,NA
1987-01-21,60,75.5,-12.28571429
1987-01-22,43,71.5,NA
1987-01-23,39,54,NA
1987-01-24,44,58,NA
1987-01-25,49,74,NA
1987-01-26,42,65.5,NA
1987-01-27,47,57.5,7.7142857143
1987-01-28,39,56,NA
1987-01-29,42,62.5,NA
1987-01-30,49,66,NA
1987-01-31,46,62.5,NA
1987-02-01,43,61,NA
1987-02-02,43,71,-2.285714286
1987-02-03,49,74.5,NA
1987-02-04,54,74,NA
1987-02-05,47,73,NA
1987-02-06,43,73,NA
1987-02-07,42,69,NA
1987-02-08,50,64,-14.28571429
1987-02-09,41,59,NA
1987-02-10,48,59,NA
1987-02-11,48,64.5,NA
1987-02-12,37,65,NA
1987-02-13,37,64.5,NA
1987-02-14,47,65.5,-3.285714286
1987-02-15,54,69.5,NA
1987-02-16,55,77.5,NA
1987-02-17,41,74,NA
1987-02-18,37,71.5,NA
1987-02-19,38,70.5,NA
1987-02-20,47,77.5,-6.285714286
1987-02-21,48,78.5,NA
1987-02-22,42,76.5,NA
1987-02-23,44,75.5,NA
1987-02-24,23,72,NA
1987-02-25,37,73,NA
1987-02-26,37,75.5,-1.285714286
1987-02-27,47,76,NA
1987-02-28,34,76.5,NA
1987-03-01,51,78,NA
1987-03-02,47,69,NA
1987-03-03,45,70,NA
1987-03-04,50,73.5,-5.285714286
1987-03-05,46,72.5,NA
1987-03-06,53,69.5,NA
1987-03-07,53,73.5,NA
1987-03-08,35,73,NA
1987-03-09,43,70,NA
1987-03-10,44,68,2.7142857143
1987-03-11,35,67,NA
1987-03-12,39,68,NA
1987-03-13,35,61,NA
1987-03-14,44,62.5,NA
1987-03-15,36,65,NA
1987-03-16,45,69.5,8.7142857143
1987-03-17,38,70.5,NA
1987-03-18,38,73,NA
1987-03-19,44,77.5,NA
1987-03-20,42,71,NA
1987-03-21,39,75.5,NA
1987-03-22,41,72.5,NA
1987-03-23,55,70,NA
1987-03-24,42,71.5,NA
1987-03-25,43,76,NA
1987-03-26,49,75,NA
1987-03-27,35,76,NA
1987-03-28,47,79,-9.285714286
1987-03-29,37,80,NA
1987-03-30,49,79,NA
1987-03-31,51,65,NA
1987-04-01,37,57,NA
1987-04-02,54,63,NA
1987-04-03,37,70.5,-13.28571429
1987-04-04,50,62,NA
1987-04-05,30,58,NA
1987-04-06,44,62,NA
1987-04-07,52,61.5,NA
1987-04-08,35,68,NA
1987-04-09,56,65,12.714285714
1987-04-10,57,66,NA
1987-04-11,50,69,NA
1987-04-12,52,70.5,NA
1987-04-13,62,75.5,NA
1987-04-14,46,78,NA
1987-04-15,48,78,-5.285714286
1987-04-16,45,70,NA
1987-04-17,48,71.5,NA
1987-04-18,52,69,NA
1987-04-19,31,72,NA
