date,death,tmpd,pm10tmean
1987-01-01,33,20,-16.81761006
1987-01-02,38,25,-9.90451505
1987-01-03,24,25.5,-0.039318453
1987-01-04,40,34,NA
1987-01-05,32,33,1.1389374435
1987-01-06,25,32.5,NA
1987-01-07,39,28,-17.86106256
1987-01-08,33,30.5,-21.90451505
1987-01-09,24,26,-5.347627801
1987-01-10,32,24.5,-20.90451505
1987-01-11,30,30,-7.361062557
1987-01-12,35,36.5,14.09548495
1987-01-13,25,37.5,4.0954849498
1987-01-14,25,33.5,-4.90451505
1987-01-15,28,16,-11.50300185
1987-01-16,33,8.5,2.0954849498
1987-01-17,29,17.5,-6.361062557
1987-01-18,29,13.5,NA
1987-01-19,31,18,-2.817610063
1987-01-20,35,12,NA
1987-01-21,32,22.5,-9.463745874
1987-01-22,26,6,-13.90451505
1987-01-23,29,-6.5,6.1823899371
1987-01-24,27,-4.5,-8.90451505
1987-01-25,32,7,-6.861062557
1987-01-26,30,13.5,NA
1987-01-27,28,26.5,-8.434777545
1987-01-28,30,26,NA
1987-01-29,33,28,2.1823899371
1987-01-30,29,21.5,-16.90451505
1987-01-31,28,25,-18.90451505
1987-02-01,37,31,-18.90451505
1987-02-02,36,35.5,-0.768110878
1987-02-03,33,21,NA
1987-02-04,27,27,13.138937443
1987-02-05,35,30,3.0954849498
1987-02-06,34,35.5,-1.861062557
1987-02-07,30,39,-5.90451505
1987-02-08,38,27,-7.130412541
1987-02-09,30,31,NA
1987-02-10,35,32.5,20.182389937
1987-02-11,30,37.5,12.09548495
1987-02-12,32,37,-6.861062557
1987-02-13,31,35,-4.90451505
1987-02-14,35,27.5,-12.7312756
1987-02-15,34,19.5,-28.90451505
1987-02-16,23,23,-16.36106256
1987-02-17,38,24.5,NA
1987-02-18,34,27,29.182389937
1987-02-19,28,31.5,15.09548495
1987-02-20,33,35.5,44.498895609
1987-02-21,33,36,NA
1987-02-22,25,32.5,-15.36106256
1987-02-23,36,32,NA
1987-02-24,35,36.5,7.6389374435
1987-02-25,23,34.5,17.09548495
1987-02-26,26,38,28.024723728
