date,death,tmpd,pm10tmean
1987-01-01,14,45.5,0.5863636364
1987-01-02,9,44,NA
1987-01-03,15,50,-16.91363636
1987-01-04,14,49,NA
1987-01-05,12,48,1.5863636364
1987-01-06,12,50,NA
1987-01-07,14,57,8.5863636364
1987-01-08,19,55.5,NA
1987-01-09,8,59,0.5863636364
1987-01-10,13,49.5,NA
1987-01-11,15,41.5,-22.41363636
1987-01-12,13,42.5,NA
1987-01-13,13,47,43.586363636
1987-01-14,18,49.5,NA
1987-01-15,14,54,-1.413636364
1987-01-16,12,55.5,NA
1987-01-17,19,55,-22.41363636
1987-01-18,10,63.5,NA
1987-01-19,10,46,-25.41363636
1987-01-20,16,42,NA
1987-01-21,11,39.5,-25.41363636
1987-01-22,16,42.5,NA
1987-01-23,16,40.5,-17.41363636
1987-01-24,11,49.5,NA
1987-01-25,15,52.5,-19.41363636
1987-01-26,11,44,NA
1987-01-27,19,41.5,-17.41363636
1987-01-28,13,56,NA
1987-01-29,11,67,-10.41363636
1987-01-30,11,60.5,NA
1987-01-31,20,52.5,-6.413636364
1987-02-01,20,57,NA
1987-02-02,14,60,0.5863636364
1987-02-03,11,59,NA
1987-02-04,9,57.5,-2.413636364
1987-02-05,19,54,NA
1987-02-06,11,51,-21.41363636
1987-02-07,13,57.5,NA
1987-02-08,18,57.5,-15.41363636
1987-02-09,15,45,NA
1987-02-10,11,48.5,4.5863636364
1987-02-11,15,56,NA
1987-02-12,13,62.5,7.5863636364
1987-02-13,19,64,NA
1987-02-14,9,63.5,2.5863636364000002
1987-02-15,18,64.5,NA
1987-02-16,15,58,-16.41363636
1987-02-17,11,51.5,NA
1987-02-18,19,44,-11.41363636
1987-02-19,10,48,NA
1987-02-20,9,54.5,-1.413636364
1987-02-21,16,55,NA
1987-02-22,11,54,-20.41363636
1987-02-23,19,51,NA
1987-02-24,12,51,-12.41363636
1987-02-25,7,55.5,NA
1987-02-26,3,65,-3.413636364
1987-02-27,15,68,NA
1987-02-28,9,63,-20.41363636
1987-03-01,16,58.5,NA
1987-03-02,12,57,-10.41363636
1987-03-03,15,59,NA
1987-03-04,10,61.5,-6.413636364
1987-03-05,10,59.5,NA
1987-03-06,12,56.5,19.586363636
1987-03-07,13,55,NA
1987-03-08,13,55,-13.41363636
1987-03-09,12,62.5,NA
1987-03-10,11,59.5,8.5863636364
1987-03-11,22,47,NA
1987-03-12,13,51.5,1.5863636364
1987-03-13,10,52.5,NA
1987-03-14,19,53.5,33.586363636
1987-03-15,11,62.5,NA
1987-03-16,16,68.5,-6.913636364
1987-03-17,13,69,NA
1987-03-18,15,65,3.5863636364000002
1987-03-19,17,64.5,NA
1987-03-20,14,69,-8.413636364
1987-03-21,10,65,NA
1987-03-22,8,67.5,-1.913636364
1987-03-23,14,68.5,NA
1987-03-24,15,64,1.5863636364
1987-03-25,14,67,NA
1987-03-26,18,69,26.586363636
1987-03-27,13,65.5,NA
1987-03-28,13,69,7.5863636364
1987-03-29,7,63.5,NA
1987-03-30,8,49,-21.41363636
1987-03-31,14,46,NA
1987-04-01,8,52,-13.41363636
1987-04-02,7,60.5,NA
1987-04-03,8,46.5,-9.413636364
1987-04-04,13,50.5,NA
1987-04-05,11,54,-16.41363636
1987-04-06,12,58,NA
1987-04-07,8,59,20.586363636
1987-04-08,11,60,NA
1987-04-09,10,64.5,21.586363636
1987-04-10,14,65,NA
1987-04-11,10,65,1.5863636364
1987-04-12,15,69.5,NA
1987-04-13,10,69.5,-12.41363636
1987-04-14,17,65.5,NA
1987-04-15,8,65,4.0863636364
1987-04-16,9,65.5,NA
1987-04-17,19,67.5,-2.413636364
1987-04-18,15,75,NA
1987-04-19,11,72.5,-7.413636364
1987-04-20,25,74.5,NA
1987-04-21,21,77,17.586363636
1987-04-22,13,77,NA
1987-04-23,15,71.5,25.586363636
1987-04-24,14,68,NA
1987-04-25,14,70.5,-2.413636364
1987-04-26,12,71.5,NA
1987-04-27,7,72,45.086363636
1987-04-28,14,79,NA
1987-04-29,15,71,12.586363636
1987-04-30,11,75,NA
1987-05-01,17,74,40.586363636
1987-05-02,8,74,NA
1987-05-03,9,77,4.0863636364
1987-05-04,6,77.5,NA
1987-05-05,18,73,11.586363636
1987-05-06,8,74,NA
1987-05-07,10,73,-12.41363636
1987-05-08,12,75,NA
1987-05-09,10,74.5,2.5863636364000002
1987-05-10,13,73.5,NA
1987-05-11,16,74,-8.413636364
1987-05-12,9,75.5,NA
1987-05-13,7,74.5,8.5863636364
1987-05-14,8,76,NA
1987-05-15,10,78.5,-6.413636364
1987-05-16,11,77,NA
1987-05-17,8,76.5,0.5863636364
1987-05-18,10,78.5,NA
1987-05-19,10,78,2.5863636364000002
1987-05-20,14,78,NA
1987-05-21,12,79.5,21.086363636
1987-05-22,9,79.5,NA
1987-05-23,15,78,-12.41363636
