date,death,tmpd,pm10tmean
1987-01-01,222,34.5,NA
1987-01-02,246,36.5,NA
1987-01-03,214,35.75,-17.10315342
1987-01-04,208,30.25,NA
1987-01-05,228,31.75,NA
1987-01-06,245,33.25,NA
1987-01-07,236,42,NA
1987-01-08,224,35.25,NA
1987-01-09,202,36.25,1.4561327231
1987-01-10,209,38.5,NA
1987-01-11,226,38,NA
1987-01-12,224,37,NA
1987-01-13,224,39.5,NA
1987-01-14,239,41,NA
1987-01-15,226,49.75,5.0433816425
1987-01-16,238,39.5,NA
1987-01-17,216,27.25,NA
1987-01-18,208,32.25,NA
1987-01-19,218,34.75,NA
1987-01-20,240,31,NA
1987-01-21,231,35,4.7061327231
1987-01-22,221,32,NA
1987-01-23,233,27.25,NA
1987-01-24,235,15.5,NA
1987-01-25,218,18,NA
1987-01-26,236,21.5,NA
1987-01-27,226,18,1.7211327231
1987-01-28,230,22.5,NA
1987-01-29,226,30,NA
1987-01-30,219,34.5,NA
1987-01-31,235,34,NA
1987-02-01,189,31.75,NA
1987-02-02,234,39,31.706132723
1987-02-03,260,43.25,NA
1987-02-04,226,38.5,NA
1987-02-05,225,29,NA
1987-02-06,213,37.75,NA
1987-02-07,215,41.5,NA
1987-02-08,214,37.25,-3.624736842
1987-02-09,223,29.75,NA
1987-02-10,208,27.75,NA
1987-02-11,206,35.5,NA
1987-02-12,215,31.5,NA
1987-02-13,212,25.25,NA
1987-02-14,215,22.25,-9.302463768
1987-02-15,187,14.5,NA
1987-02-16,203,19.5,NA
1987-02-17,230,28,NA
1987-02-18,234,32.75,NA
1987-02-19,218,31,NA
1987-02-20,201,33.5,-9.778867277
1987-02-21,186,35.5,NA
1987-02-22,215,38,NA
1987-02-23,248,37.25,NA
1987-02-24,220,37.75,NA
1987-02-25,194,35.5,NA
1987-02-26,181,36,-9.955533944
1987-02-27,211,35.5,NA
1987-02-28,209,35.25,NA
1987-03-01,213,40.75,NA
1987-03-02,220,43.25,NA
1987-03-03,223,37.5,-13.34
1987-03-04,224,35,-10.49404526
1987-03-05,209,34.75,NA
1987-03-06,217,41.75,NA
1987-03-07,201,56,NA
1987-03-08,228,61.25,NA
1987-03-09,217,43.5,NA
1987-03-10,205,21.75,-11.76482009
1987-03-11,197,25.75,NA
1987-03-12,188,32.75,NA
1987-03-13,237,35.75,NA
1987-03-14,182,38.25,NA
1987-03-15,204,38.25,NA
1987-03-16,236,37,-9.956618357
1987-03-17,205,38.25,NA
1987-03-18,213,44.25,NA
1987-03-19,201,44,NA
1987-03-20,225,41.75,NA
1987-03-21,180,41,NA
1987-03-22,207,45.75,-22.48536398
1987-03-23,210,52.25,NA
1987-03-24,205,53,NA
1987-03-25,210,53.75,NA
1987-03-26,195,56,NA
1987-03-27,194,55.5,NA
1987-03-28,187,53.5,8.4069065467
1987-03-29,202,52.25,NA
1987-03-30,225,53,NA
1987-03-31,199,48.75,NA
1987-04-01,186,39.5,NA
1987-04-02,200,44.5,NA
1987-04-03,206,49.5,-5.353153423
1987-04-04,206,50,NA
1987-04-05,200,48,NA
1987-04-06,195,43.75,NA
1987-04-07,236,49.75,NA
1987-04-08,204,48.75,NA
1987-04-09,221,53,-12.28995169
1987-04-10,219,58.75,NA
1987-04-11,221,59.25,NA
1987-04-12,210,58.5,NA
1987-04-13,203,49.25,NA
1987-04-14,212,53,NA
1987-04-15,190,51,7.3881769641
1987-04-16,207,46,NA
1987-04-17,207,49,NA
1987-04-18,223,56.5,NA
1987-04-19,208,63,NA
1987-04-20,205,62.25,NA
1987-04-21,209,62,-6.91137931
1987-04-22,200,59,NA
1987-04-23,214,50,NA
1987-04-24,184,52.75,NA
1987-04-25,185,50,NA
1987-04-26,183,52.25,NA
1987-04-27,192,49.5,-11.10315342
1987-04-28,208,42.5,NA
1987-04-29,210,51,NA
1987-04-30,201,54,NA
1987-05-01,191,54.75,NA
1987-05-02,194,56,NA
1987-05-03,227,52.25,5.0745735027
1987-05-04,196,46.75,NA
1987-05-05,193,46.5,NA
1987-05-06,192,54.75,NA
1987-05-07,225,61.5,NA
1987-05-08,188,56.75,NA
1987-05-09,218,62.5,2.4475362319
1987-05-10,205,72.5,NA
1987-05-11,216,64,NA
1987-05-12,215,68.25,NA
1987-05-13,204,54.75,NA
1987-05-14,199,53.25,NA
1987-05-15,220,64.5,1.4475362319
1987-05-16,206,56.75,NA
1987-05-17,199,69.75,NA
1987-05-18,222,67,NA
1987-05-19,189,53.75,NA
1987-05-20,186,53,NA
1987-05-21,164,60.75,0.5745735027
1987-05-22,201,63.5,NA
1987-05-23,211,64.75,NA
1987-05-24,201,61.5,NA
1987-05-25,193,56.75,NA
1987-05-26,188,57.25,NA
1987-05-27,210,56.25,-5.205533944
1987-05-28,225,68.75,NA
1987-05-29,214,81.5,NA
1987-05-30,233,81.75,NA
1987-05-31,265,83.25,NA
1987-06-01,238,79.25,NA
1987-06-02,265,70.25,22.181302682
1987-06-03,207,61.5,NA
1987-06-04,196,60.5,NA
1987-06-05,190,70.75,NA
1987-06-06,216,69.5,NA
1987-06-07,210,64,NA
1987-06-08,195,75.75,31.977209115
1987-06-09,192,71.5,NA
1987-06-10,205,66.75,NA
1987-06-11,204,66.5,NA
1987-06-12,208,69,NA
1987-06-13,194,76.25,NA
1987-06-14,199,75,1.2488888889
1987-06-15,188,82.75,NA
1987-06-16,216,76.75,NA
1987-06-17,199,72.5,NA
1987-06-18,189,73.25,NA
1987-06-19,210,75.75,NA
1987-06-20,209,82.25,42.043333333
1987-06-21,196,71.25,NA
1987-06-22,215,71.5,NA
1987-06-23,217,73.5,NA
1987-06-24,179,69.5,NA
1987-06-25,197,76,NA
1987-06-26,207,63.75,-4.751111111
1987-06-27,167,68.75,NA
1987-06-28,174,70,NA
1987-06-29,178,74.5,NA
1987-06-30,179,80.75,NA
1987-07-01,194,75.75,NA
1987-07-02,186,68,2.8479693487
1987-07-03,187,75.75,NA
1987-07-04,202,80,NA
1987-07-05,183,75.5,NA
1987-07-06,176,70.5,NA
1987-07-07,182,68,NA
1987-07-08,181,74.25,7.6779661017
1987-07-09,205,81,NA
1987-07-10,220,82.25,NA
1987-07-11,216,82.5,NA
1987-07-12,208,80.5,NA
1987-07-13,219,79,NA
1987-07-14,207,75.25,14.155884075
1987-07-15,186,72,NA
1987-07-16,194,69,NA
1987-07-17,155,72.5,NA
1987-07-18,198,78.5,NA
1987-07-19,230,80.75,NA
1987-07-20,207,76.75,37.177688247
1987-07-21,221,84.25,NA
1987-07-22,176,77.75,NA
1987-07-23,191,78,NA
1987-07-24,211,81.75,NA
1987-07-25,236,84.75,NA
1987-07-26,202,77.75,5.3088512241
1987-07-27,234,75.75,NA
1987-07-28,197,77.5,NA
1987-07-29,191,71.25,NA
1987-07-30,200,74,NA
1987-07-31,183,77.25,NA
1987-08-01,173,72.75,-5.575110836
1987-08-02,219,74,NA
1987-08-03,218,80.75,NA
1987-08-04,190,81,NA
1987-08-05,194,77.75,NA
1987-08-06,166,71.5,NA
1987-08-07,170,72.25,-1.765447667
1987-08-08,181,78.5,NA
1987-08-09,169,74.5,NA
1987-08-10,199,73,NA
1987-08-11,209,73.25,NA
1987-08-12,186,69.75,NA
1987-08-13,178,69.25,-7.442301511
1987-08-14,183,69.75,NA
1987-08-15,192,77.25,NA
1987-08-16,179,78,NA
1987-08-17,207,81.5,NA
1987-08-18,214,84.75,NA
1987-08-19,192,77.75,10.736271186
1987-08-20,179,77.25,NA
1987-08-21,172,75.5,NA
1987-08-22,222,76.25,NA
1987-08-23,186,72,NA
1987-08-24,216,67.25,NA
1987-08-25,198,66.5,-0.081855693
1987-08-26,182,69,NA
1987-08-27,169,65.5,NA
1987-08-28,195,62.5,NA
1987-08-29,168,69.5,NA
1987-08-30,189,68.5,NA
1987-08-31,186,68,-12.15198087
1987-09-01,190,68.25,NA
1987-09-02,180,68.5,NA
1987-09-03,184,67.25,NA
1987-09-04,191,65,NA
1987-09-05,212,64.75,NA
1987-09-06,229,69,-11.64503643
1987-09-07,178,74,NA
1987-09-08,190,72.5,NA
1987-09-09,212,77.5,NA
1987-09-10,182,75.75,NA
1987-09-11,178,71.25,NA
1987-09-12,175,68.5,-14.87613843
1987-09-13,189,71,NA
1987-09-14,197,73.75,NA
1987-09-15,188,66.75,NA
1987-09-16,195,69.25,NA
1987-09-17,198,71.75,NA
1987-09-18,186,63.75,-8.370673953
1987-09-19,206,60,NA
1987-09-20,202,60,NA
1987-09-21,177,63.5,NA
1987-09-22,215,66.5,NA
1987-09-23,209,64.25,NA
1987-09-24,202,67.25,1.3151555704
1987-09-25,194,58.5,NA
1987-09-26,189,61.5,NA
1987-09-27,215,64.5,NA
1987-09-28,227,69.75,NA
1987-09-29,217,70,NA
1987-09-30,192,66.25,0.7523071223
1987-10-01,193,58.25,NA
1987-10-02,215,61,NA
1987-10-03,223,57.5,NA
1987-10-04,198,47.5,NA
1987-10-05,219,57,NA
1987-10-06,222,59.25,6.6659016393
1987-10-07,238,61.25,NA
1987-10-08,198,53.75,NA
1987-10-09,214,51,NA
1987-10-10,199,56.75,NA
1987-10-11,201,48.5,NA
1987-10-12,243,46.5,-13.8457905
1987-10-13,212,49,NA
1987-10-14,215,49.75,NA
1987-10-15,208,54.75,NA
1987-10-16,208,59,NA
1987-10-17,225,56.25,NA
1987-10-18,206,61.75,-2.470037974
1987-10-19,229,57,NA
1987-10-20,231,57.25,NA
1987-10-21,215,53.75,NA
1987-10-22,220,50.25,NA
1987-10-23,185,54.75,NA
1987-10-24,234,56.25,9.711025641
1987-10-25,228,52.5,NA
1987-10-26,185,46.75,NA
1987-10-27,248,49.25,NA
1987-10-28,200,55.5,NA
1987-10-29,202,48,NA
1987-10-30,216,47.25,2.5730640501
1987-10-31,222,55.5,NA
1987-11-01,179,52,NA
1987-11-02,219,51,NA
1987-11-03,224,57,NA
1987-11-04,218,64.75,NA
1987-11-05,214,55.5,6.7685245902
1987-11-06,215,41.25,NA
1987-11-07,195,47.75,NA
1987-11-08,201,54.75,NA
1987-11-09,210,60,NA
1987-11-10,234,44.25,NA
1987-11-11,210,32.75,-16.53200364
1987-11-12,225,38.75,NA
1987-11-13,220,47,NA
1987-11-14,216,52.75,NA
1987-11-15,186,48,NA
1987-11-16,206,46.25,NA
1987-11-17,238,54.5,-0.349214481
1987-11-18,201,59.25,NA
1987-11-19,198,47.75,NA
1987-11-20,199,42.25,NA
1987-11-21,213,27.75,NA
1987-11-22,202,28.25,NA
1987-11-23,231,40.5,16.721311475
1987-11-24,229,52,NA
1987-11-25,194,48.75,NA
1987-11-26,238,50.25,NA
1987-11-27,213,38,NA
1987-11-28,213,41.5,NA
1987-11-29,182,48.75,-13.35758197
1987-11-30,216,53,NA
1987-12-01,225,46.25,NA
1987-12-02,196,41.25,NA
1987-12-03,213,38.75,NA
1987-12-04,205,41,NA
1987-12-05,196,35.75,-14.45679355
1987-12-06,197,38.5,NA
1987-12-07,222,39,NA
1987-12-08,227,39.5,NA
1987-12-09,200,47.5,NA
1987-12-10,246,51.25,NA
1987-12-11,209,45.5,-6.888333333
1987-12-12,192,46.25,NA
1987-12-13,205,42.75,NA
1987-12-14,237,41.25,NA
1987-12-15,208,43.25,NA
1987-12-16,210,41.75,NA
1987-12-17,211,36.5,-24.33333333
1987-12-18,222,33.5,NA
1987-12-19,222,38,NA
1987-12-20,222,42,NA
1987-12-21,240,44,NA
1987-12-22,214,40,NA
1987-12-23,210,42.25,2.9706557377
1987-12-24,231,41.5,NA
1987-12-25,188,49.25,NA
1987-12-26,239,43,NA
1987-12-27,206,34,NA
1987-12-28,214,33.25,NA
1987-12-29,194,23.5,-6.278688525
1987-12-30,211,15.5,NA
1987-12-31,221,28.75,NA
1988-01-01,225,40.25,NA
1988-01-02,194,30.5,NA
1988-01-03,204,27.75,NA
1988-01-04,260,33.5,-1.278688525
1988-01-05,229,18.75,NA
1988-01-06,217,15.5,NA
1988-01-07,231,17.25,NA
1988-01-08,237,22.25,NA
1988-01-09,237,28.5,NA
1988-01-10,261,23.75,-2.969344262
1988-01-11,254,20,NA
1988-01-12,258,29,NA
1988-01-13,258,30.75,NA
1988-01-14,225,13,NA
1988-01-15,221,15,NA
1988-01-16,232,27.5,29.479299806
1988-01-17,218,34,NA
1988-01-18,245,40.5,NA
1988-01-19,214,42.5,NA
1988-01-20,210,38.5,NA
1988-01-21,223,42.75,NA
1988-01-22,219,33.25,-8.097783572
1988-01-23,206,30.5,NA
1988-01-24,223,37,NA
1988-01-25,206,37,NA
1988-01-26,224,28.5,NA
1988-01-27,191,23,NA
1988-01-28,235,22.75,5.3013337038
1988-01-29,221,25.25,NA
1988-01-30,194,36.75,NA
1988-01-31,193,44.25,NA
1988-02-01,224,51.25,NA
1988-02-02,230,45,NA
1988-02-03,200,32.25,-14.6986663
1988-02-04,202,31,NA
1988-02-05,209,24.75,NA
1988-02-06,244,19.25,NA
1988-02-07,222,18.25,NA
1988-02-08,237,31.75,NA
1988-02-09,224,29.75,-1.516702753
1988-02-10,229,36,NA
1988-02-11,245,31.75,NA
1988-02-12,215,35.25,NA
1988-02-13,239,25,NA
1988-02-14,212,30.5,NA
1988-02-15,221,39.5,-2.118644068
1988-02-16,239,39,NA
1988-02-17,218,38.25,NA
1988-02-18,238,42.75,NA
1988-02-19,256,37,NA
1988-02-20,219,45.75,NA
1988-02-21,222,33.75,-23.08474576
1988-02-22,256,33.25,NA
1988-02-23,240,49.5,NA
1988-02-24,221,36.5,NA
1988-02-25,209,32.25,NA
1988-02-26,208,29.25,NA
1988-02-27,226,33,-15.02542373
1988-02-28,227,33.5,NA
1988-02-29,233,37.5,NA
1988-03-01,246,35.25,NA
1988-03-02,253,36.75,NA
1988-03-03,244,45.5,NA
1988-03-04,234,37.75,0.1104936556
1988-03-05,221,34.5,NA
1988-03-06,238,37.25,NA
1988-03-07,242,46,NA
1988-03-08,248,43.75,NA
1988-03-09,217,47,NA
1988-03-10,208,44.5,-15.19756356
1988-03-11,242,42,NA
1988-03-12,243,44,NA
1988-03-13,234,53.5,NA
1988-03-14,246,39.75,NA
1988-03-15,232,37.25,NA
1988-03-16,213,37.5,-9.425758698
1988-03-17,252,41.25,NA
1988-03-18,297,39.5,NA
1988-03-19,245,41.25,NA
1988-03-20,226,35,NA
1988-03-21,209,28.25,NA
1988-03-22,212,30.5,-11.51485945
1988-03-23,249,37.75,NA
1988-03-24,265,55,NA
1988-03-25,218,51.75,NA
1988-03-26,235,50.75,NA
1988-03-27,213,49.75,NA
1988-03-28,213,47.25,-15.43140842
1988-03-29,214,48,NA
1988-03-30,214,47,NA
1988-03-31,191,53.5,NA
1988-04-01,239,48.25,NA
1988-04-02,217,50.25,NA
1988-04-03,195,49.25,-5.006018443
1988-04-04,223,55.5,NA
1988-04-05,239,60.25,NA
1988-04-06,213,48.25,NA
1988-04-07,206,44,NA
1988-04-08,199,50,NA
1988-04-09,198,54,-22.64892254
1988-04-10,214,52.25,NA
1988-04-11,194,49.25,NA
1988-04-12,189,45.75,NA
1988-04-13,196,44.5,NA
1988-04-14,192,43.25,NA
1988-04-15,232,45.5,4.0662737513
1988-04-16,224,43,NA
1988-04-17,206,52.25,NA
1988-04-18,213,54.25,NA
1988-04-19,225,43.25,NA
1988-04-20,236,47.25,NA
1988-04-21,198,51,-3.585290786
1988-04-22,204,49.75,NA
1988-04-23,203,48.75,NA
1988-04-24,224,51.75,NA
1988-04-25,218,54.25,NA
1988-04-26,214,51,NA
1988-04-27,208,55.75,1.7213114754
1988-04-28,176,56.75,NA
1988-04-29,195,52,NA
1988-04-30,217,52.5,NA
1988-05-01,198,52.25,NA
1988-05-02,216,50.5,NA
1988-05-03,199,51,-1.661016949
1988-05-04,223,57.25,NA
1988-05-05,210,54,NA
1988-05-06,193,55.75,NA
1988-05-07,212,64,NA
1988-05-08,185,54.5,NA
1988-05-09,207,52.25,-7.233649039
1988-05-10,211,56.25,NA
1988-05-11,192,61,NA
1988-05-12,196,59.25,NA
1988-05-13,213,62.75,NA
1988-05-14,212,60,NA
1988-05-15,183,57.5,-14.86321343
1988-05-16,192,61.75,NA
1988-05-17,194,61,NA
1988-05-18,199,59.5,NA
1988-05-19,175,58.75,NA
1988-05-20,185,62.5,NA
1988-05-21,189,61,1.547042982
1988-05-22,203,63.75,NA
1988-05-23,227,67.5,NA
1988-05-24,222,72,NA
1988-05-25,210,58.5,NA
1988-05-26,180,59.5,NA
1988-05-27,204,66.75,13.088140425
1988-05-28,198,68.25,NA
1988-05-29,197,72.25,NA
1988-05-30,202,70.5,NA
1988-05-31,196,77.5,NA
1988-06-01,211,75.5,NA
1988-06-02,191,57.25,-12.21327104
1988-06-03,192,56.5,NA
1988-06-04,172,57.5,NA
1988-06-05,206,69.75,NA
1988-06-06,209,74,NA
1988-06-07,185,69.75,NA
1988-06-08,189,66.75,-6.176469355
1988-06-09,171,58.75,NA
1988-06-10,177,61.5,NA
1988-06-11,180,66.25,NA
1988-06-12,199,76.75,NA
1988-06-13,216,80.75,NA
1988-06-14,195,81.25,42.168938836
1988-06-15,213,84.25,NA
1988-06-16,226,77,NA
1988-06-17,200,69.75,NA
1988-06-18,190,71.75,NA
1988-06-19,182,72,NA
1988-06-20,209,73,36.79245283
1988-06-21,201,85,NA
1988-06-22,210,81,NA
1988-06-23,225,76.25,NA
1988-06-24,186,67,NA
1988-06-25,203,66.5,NA
1988-06-26,162,72.25,-4.710144928
1988-06-27,171,70,NA
1988-06-28,179,73,NA
1988-06-29,194,69.5,NA
1988-06-30,164,65.25,NA
1988-07-01,179,63,NA
1988-07-02,179,69.25,-25.36170213
1988-07-03,178,73.25,NA
1988-07-04,204,74.25,NA
1988-07-05,193,72.25,NA
1988-07-06,181,75.5,NA
1988-07-07,208,76,NA
1988-07-08,199,80.5,47.638297872
1988-07-09,173,76.25,NA
1988-07-10,201,81.5,NA
1988-07-11,219,84.75,NA
1988-07-12,204,78,NA
1988-07-13,188,78.5,NA
1988-07-14,196,75.75,34.157625786
1988-07-15,204,81.25,NA
1988-07-16,205,79,NA
1988-07-17,191,79.75,NA
1988-07-18,200,81.5,NA
1988-07-19,223,80,NA
1988-07-20,200,75.5,13.648809524
1988-07-21,182,77.75,NA
1988-07-22,200,74,NA
1988-07-23,192,73.5,NA
1988-07-24,188,77.25,NA
1988-07-25,192,77.25,NA
1988-07-26,186,75.5,29.36
1988-07-27,189,76,NA
1988-07-28,204,76.75,NA
1988-07-29,185,79,NA
1988-07-30,194,85,NA
1988-07-31,224,80.75,NA
1988-08-01,224,79.5,28.29245283
1988-08-02,209,80.75,NA
1988-08-03,206,82,NA
1988-08-04,198,81.25,NA
1988-08-05,212,81.5,NA
1988-08-06,201,80.25,NA
1988-08-07,175,83.5,-3.697387518
1988-08-08,215,81,NA
1988-08-09,193,81.5,NA
1988-08-10,207,81.25,NA
1988-08-11,183,83.5,NA
1988-08-12,210,85,NA
1988-08-13,255,84.75,45.830345912
1988-08-14,248,85,NA
