date,death,tmpd,pm10tmean
1987-01-01,45,54.5,NA
1987-01-02,48,55.5,NA
1987-01-03,44,57.5,NA
1987-01-04,40,62.5,NA
1987-01-05,32,59,NA
1987-01-06,33,56,NA
1987-01-07,43,55.5,NA
1987-01-08,44,49.5,NA
1987-01-09,32,50,NA
1987-01-10,40,52,NA
1987-01-11,35,56.5,NA
1987-01-12,44,61.5,NA
1987-01-13,33,58.5,NA
1987-01-14,45,56,NA
1987-01-15,62,48,NA
1987-01-16,46,42,NA
1987-01-17,36,39,NA
1987-01-18,32,41,NA
1987-01-19,36,44.5,NA
1987-01-20,31,50,NA
1987-01-21,40,47,NA
1987-01-22,34,51.5,NA
1987-01-23,44,57.5,NA
1987-01-24,43,54,NA
1987-01-25,42,57,NA
1987-01-26,31,63.5,NA
1987-01-27,36,65,NA
1987-01-28,35,66.5,NA
1987-01-29,42,64.5,NA
1987-01-30,39,64,NA
1987-01-31,35,52,NA
1987-02-01,48,55,NA
1987-02-02,50,60,NA
1987-02-03,50,64.5,NA
1987-02-04,49,63.5,NA
1987-02-05,37,64,NA
1987-02-06,41,65.5,NA
1987-02-07,47,68,NA
1987-02-08,24,66.5,NA
1987-02-09,36,70,NA
1987-02-10,46,70.5,NA
1987-02-11,47,69.5,NA
1987-02-12,43,67.5,NA
1987-02-13,29,66,NA
1987-02-14,39,65.5,NA
1987-02-15,38,61,NA
1987-02-16,41,58,NA
1987-02-17,37,58,NA
1987-02-18,46,56.5,NA
1987-02-19,41,55,NA
1987-02-20,31,50.5,NA
1987-02-21,48,53,NA
1987-02-22,44,54.5,NA
1987-02-23,31,56,NA
1987-02-24,40,46.5,NA
1987-02-25,35,43.5,NA
1987-02-26,50,50.5,NA
1987-02-27,33,49.5,NA
1987-02-28,38,52,NA
1987-03-01,35,56.5,NA
1987-03-02,39,58.5,NA
1987-03-03,37,63,NA
1987-03-04,45,68.5,NA
1987-03-05,34,73.5,NA
1987-03-06,43,71.5,NA
1987-03-07,45,67.5,NA
1987-03-08,44,67,NA
1987-03-09,32,65.5,NA
1987-03-10,31,66.5,NA
1987-03-11,34,67.5,NA
1987-03-12,26,69.5,NA
1987-03-13,39,71,NA
1987-03-14,33,68.5,NA
1987-03-15,35,60.5,NA
1987-03-16,33,52.5,NA
1987-03-17,39,59.5,NA
1987-03-18,41,62.5,NA
1987-03-19,28,64,NA
1987-03-20,36,58,NA
1987-03-21,36,59.5,NA
1987-03-22,29,56,NA
1987-03-23,42,57,NA
1987-03-24,34,61,NA
1987-03-25,37,61,NA
1987-03-26,44,62,NA
1987-03-27,41,63.5,NA
1987-03-28,38,57.5,NA
1987-03-29,42,58,NA
1987-03-30,35,62,NA
1987-03-31,44,67,NA
1987-04-01,37,71.5,NA
1987-04-02,29,73.5,NA
1987-04-03,40,75.5,NA
1987-04-04,45,62.5,NA
1987-04-05,32,62,NA
1987-04-06,48,69.5,NA
1987-04-07,43,73.5,NA
1987-04-08,34,73.5,NA
1987-04-09,34,77,NA
1987-04-10,30,80,NA
1987-04-11,37,79,NA
1987-04-12,40,76.5,NA
1987-04-13,37,73,NA
1987-04-14,30,76.5,NA
1987-04-15,38,80,NA
1987-04-16,31,82,NA
1987-04-17,30,82.5,NA
1987-04-18,42,81,NA
1987-04-19,32,75.5,NA
1987-04-20,28,72.5,NA
1987-04-21,43,77,NA
1987-04-22,36,79,NA
1987-04-23,37,83,NA
1987-04-24,44,83.5,NA
1987-04-25,37,86.5,NA
1987-04-26,28,87,NA
1987-04-27,32,86.5,NA
1987-04-28,37,85.5,NA
1987-04-29,33,86,NA
1987-04-30,32,82,NA
1987-05-01,34,77,NA
1987-05-02,33,75,NA
1987-05-03,27,78,NA
1987-05-04,37,81,NA
1987-05-05,30,85,NA
1987-05-06,39,89.5,NA
1987-05-07,37,88,NA
1987-05-08,40,87,NA
1987-05-09,37,86,NA
1987-05-10,31,86.5,NA
1987-05-11,30,85.5,NA
1987-05-12,32,88.5,NA
1987-05-13,37,88.5,NA
1987-05-14,39,90,NA
1987-05-15,30,85,NA
1987-05-16,31,84.5,NA
1987-05-17,49,88,NA
1987-05-18,29,87.5,NA
1987-05-19,27,83,NA
1987-05-20,30,81.5,NA
1987-05-21,37,77,NA
1987-05-22,32,80.5,NA
1987-05-23,39,80.5,NA
