date,death,tmpd,pm10tmean
1987-01-01,4,39.5,NA
1987-01-02,2,40.5,NA
1987-01-03,6,37,-6.196428571
1987-01-04,6,35,NA
1987-01-05,1,38.5,NA
1987-01-06,13,37.5,NA
1987-01-07,6,46.5,NA
1987-01-08,4,40.5,NA
1987-01-09,2,37.5,2.8035714286
1987-01-10,7,43.5,NA
1987-01-11,1,40.5,NA
1987-01-12,3,42,NA
1987-01-13,7,43,NA
1987-01-14,3,46.5,NA
1987-01-15,5,57.5,-7.196428571
1987-01-16,6,47,NA
1987-01-17,5,39.5,NA
1987-01-18,5,35.5,NA
1987-01-19,7,44,NA
1987-01-20,4,35.5,NA
1987-01-21,3,38.5,NA
1987-01-22,4,35,NA
1987-01-23,8,28.5,NA
1987-01-24,6,35.5,NA
1987-01-25,3,31,NA
1987-01-26,10,23.5,NA
1987-01-27,9,23,NA
1987-01-28,8,28.5,NA
1987-01-29,5,31.5,NA
1987-01-30,4,49.5,NA
1987-01-31,5,42,NA
1987-02-01,7,41.5,NA
1987-02-02,6,45,-7.196428571
1987-02-03,6,50.5,NA
1987-02-04,2,45,NA
1987-02-05,5,39,NA
1987-02-06,7,43,NA
1987-02-07,5,51,NA
1987-02-08,3,49,-16.19642857
1987-02-09,9,32.5,NA
1987-02-10,12,41.5,NA
1987-02-11,2,42,NA
1987-02-12,5,50.5,NA
1987-02-13,3,46.5,NA
1987-02-14,8,45,7.8035714286
1987-02-15,6,37.5,NA
1987-02-16,5,29.5,NA
1987-02-17,8,29,NA
1987-02-18,4,32.5,NA
1987-02-19,7,34.5,NA
1987-02-20,7,37,2.8035714286
1987-02-21,4,38.5,NA
1987-02-22,8,32,NA
1987-02-23,7,43,NA
1987-02-24,4,38.5,NA
1987-02-25,10,40,NA
1987-02-26,6,38.5,1.8035714286
1987-02-27,6,37,NA
1987-02-28,4,46.5,NA
1987-03-01,2,63,NA
1987-03-02,7,50,NA
1987-03-03,5,49,NA
1987-03-04,6,41,-13.19642857
1987-03-05,6,37,NA
1987-03-06,5,43,NA
1987-03-07,9,50.5,NA
1987-03-08,6,54,NA
1987-03-09,4,60,NA
1987-03-10,2,41,-10.19642857
1987-03-11,2,32.5,NA
1987-03-12,9,40.5,NA
1987-03-13,5,41.5,NA
1987-03-14,2,41.5,NA
1987-03-15,3,53,NA
1987-03-16,3,40.5,-3.196428571
1987-03-17,7,41,NA
1987-03-18,1,42.5,NA
1987-03-19,4,44,NA
1987-03-20,9,50,NA
1987-03-21,2,49,NA
1987-03-22,5,46.5,-12.19642857
1987-03-23,7,50.5,NA
1987-03-24,5,51.5,NA
1987-03-25,10,53.5,NA
1987-03-26,4,64,NA
1987-03-27,4,62,NA
1987-03-28,7,63.5,-13.19642857
1987-03-29,6,58,NA
1987-03-30,4,63,NA
1987-03-31,0,51,NA
1987-04-01,6,39.5,NA
1987-04-02,1,52,NA
1987-04-03,8,50,-12.19642857
1987-04-04,7,42.5,NA
1987-04-05,5,41,NA
1987-04-06,6,46,NA
1987-04-07,6,51,NA
1987-04-08,8,58.5,NA
1987-04-09,8,55.5,3.8035714286
1987-04-10,3,57,NA
1987-04-11,4,61,NA
1987-04-12,5,65,NA
1987-04-13,3,60.5,NA
1987-04-14,4,57.5,NA
1987-04-15,6,57.5,-16.19642857
1987-04-16,4,61,NA
1987-04-17,2,55.5,NA
1987-04-18,8,55.5,NA
1987-04-19,4,62.5,NA
1987-04-20,4,64.5,NA
1987-04-21,4,65,-7.196428571
1987-04-22,7,67.5,NA
1987-04-23,3,63,NA
1987-04-24,7,61.5,NA
1987-04-25,7,52.5,NA
1987-04-26,7,54.5,NA
1987-04-27,6,55,-9.196428571
1987-04-28,5,57,NA
1987-04-29,5,57,NA
1987-04-30,4,72,NA
1987-05-01,12,65,NA
1987-05-02,5,72,NA
1987-05-03,7,72.5,-2.196428571
1987-05-04,8,58.5,NA
1987-05-05,3,55.5,NA
1987-05-06,3,59.5,NA
1987-05-07,9,66.5,NA
1987-05-08,6,62.5,NA
1987-05-09,4,60.5,15.803571429
1987-05-10,7,69,NA
1987-05-11,4,69,NA
1987-05-12,5,72.5,NA
1987-05-13,2,65.5,NA
1987-05-14,5,65,NA
1987-05-15,5,69,4.8035714286
1987-05-16,8,68,NA
1987-05-17,6,69,NA
1987-05-18,3,76.5,NA
1987-05-19,3,76,NA
1987-05-20,2,64,NA
1987-05-21,6,64,-2.196428571
1987-05-22,3,71,NA
1987-05-23,8,75,NA
1987-05-24,6,76.5,NA
1987-05-25,5,76.5,NA
1987-05-26,2,69.5,NA
1987-05-27,8,71.5,12.803571429
1987-05-28,4,73.5,NA
1987-05-29,7,76,NA
1987-05-30,8,77,NA
1987-05-31,6,78,NA
1987-06-01,5,78.5,NA
1987-06-02,6,78.5,7.8035714286
1987-06-03,4,79.5,NA
1987-06-04,4,73,NA
1987-06-05,3,72,NA
1987-06-06,6,72,NA
1987-06-07,2,75,NA
1987-06-08,7,78.5,22.803571429
1987-06-09,6,79,NA
1987-06-10,5,71,NA
1987-06-11,7,68,NA
1987-06-12,6,78,NA
1987-06-13,7,74,NA
1987-06-14,4,77,NA
1987-06-15,4,78,NA
1987-06-16,8,79,NA
1987-06-17,4,77.5,NA
1987-06-18,4,76.5,NA
1987-06-19,4,74.5,NA
1987-06-20,4,80,7.8035714286
1987-06-21,3,81.5,NA
1987-06-22,4,82.5,NA
1987-06-23,9,82,NA
1987-06-24,3,75,NA
1987-06-25,2,74,NA
1987-06-26,4,77.5,3.8035714286
1987-06-27,2,79,NA
1987-06-28,6,71,NA
1987-06-29,10,72.5,NA
1987-06-30,4,79.5,NA
1987-07-01,4,81.5,NA
1987-07-02,4,80.5,5.8035714286
1987-07-03,5,79.5,NA
1987-07-04,4,80,NA
1987-07-05,7,80,NA
1987-07-06,2,82.5,NA
1987-07-07,6,84.5,NA
1987-07-08,6,83.5,6.0877192982
1987-07-09,3,85.5,NA
1987-07-10,6,84,NA
1987-07-11,10,82.5,NA
1987-07-12,10,80.5,NA
1987-07-13,3,79.5,NA
1987-07-14,3,79.5,2.9122807018
1987-07-15,3,71,NA
1987-07-16,4,75.5,NA
1987-07-17,4,75,NA
