date,death,tmpd,pm10tmean
1987-01-01,29,45,-26.59195402
1987-01-02,17,46,-17.59195402
1987-01-03,23,46,-24.04176245
1987-01-04,34,42.5,14.265969891
1987-01-05,27,37,16.408045977
1987-01-06,16,33,34.408045977
1987-01-07,30,31.5,73.408045977
1987-01-08,27,33.5,79.408045977
1987-01-09,29,37.5,32.902681992
1987-01-10,30,44.5,3.408045977
1987-01-11,31,53,-16.59195402
1987-01-12,28,45,-22.23403011
1987-01-13,28,37,-18.59195402
1987-01-14,25,36.5,-17.59195402
1987-01-15,23,30.5,17.051663106
1987-01-16,37,32,24.408045977
1987-01-17,17,37,26.408045977
1987-01-18,31,37,-4.234030109
1987-01-19,35,37.5,10.408045977
1987-01-20,26,38,NA
1987-01-21,35,35,79.988871473
1987-01-22,29,38.5,119.40804598
1987-01-23,32,43,5.408045977
1987-01-24,25,43,-20.73403011
1987-01-25,24,43.5,-13.59195402
1987-01-26,24,43.5,-1.591954023
1987-01-27,28,47.5,-8.261128527
1987-01-28,25,44,-17.59195402
1987-01-29,26,47.5,-6.591954023
1987-01-30,13,45.5,-15.73403011
1987-01-31,35,42.5,-25.59195402
1987-02-01,29,46.5,-15.59195402
1987-02-02,29,41.5,0.2790229885
1987-02-03,24,47.5,1.408045977
1987-02-04,30,50,-3.591954023
1987-02-05,20,51,44.265969891
1987-02-06,27,46,114.40804598
1987-02-07,24,43.5,104.40804598
1987-02-08,30,52.5,70.638871473
1987-02-09,27,54.5,61.408045977
1987-02-10,19,54.5,39.408045977
1987-02-11,34,52.5,-0.234030109
1987-02-12,21,53.5,24.408045977
1987-02-13,25,49,-6.591954023
1987-02-14,22,46.5,-18.18216657
1987-02-15,27,49,-27.59195402
1987-02-16,24,46,-23.59195402
1987-02-17,20,43,-4.876106195
1987-02-18,31,41,9.408045977
1987-02-19,34,45.5,13.408045977
1987-02-20,22,46.5,14.301663106
1987-02-21,24,42.5,-7.591954023
1987-02-22,24,41,-20.59195402
1987-02-23,25,44.5,-5.591954023
1987-02-24,21,43,-0.591954023
1987-02-25,28,40.5,21.408045977
1987-02-26,26,41.5,8.1158219362
1987-02-27,25,43.5,-10.59195402
1987-02-28,24,40,-21.59195402
1987-03-01,31,42,-21.73403011
1987-03-02,35,47,-17.59195402
1987-03-03,38,52,-15.59195402
1987-03-04,27,59.5,2.3658219362
1987-03-05,33,51.5,-0.591954023
1987-03-06,25,47,-7.591954023
1987-03-07,26,47,-4.234030109
1987-03-08,23,47.5,-12.59195402
1987-03-09,23,47.5,-8.591954023
1987-03-10,24,52,-13.63417806
1987-03-11,25,51,-6.591954023
1987-03-12,22,52,-6.591954023
1987-03-13,34,48.5,-17.23403011
1987-03-14,17,48,-20.59195402
1987-03-15,30,49,-18.23403011
1987-03-16,25,48,-21.48418669
1987-03-17,28,47,-14.59195402
1987-03-18,27,45.5,-16.59195402
1987-03-19,36,46.5,-10.73403011
1987-03-20,27,46.5,-3.591954023
1987-03-21,23,51,-9.591954023
1987-03-22,29,49,-7.588488409
1987-03-23,34,47.5,1.408045977
1987-03-24,24,47.5,18.408045977
1987-03-25,21,45,-2.234030109
1987-03-26,28,44.5,-17.59195402
1987-03-27,26,45.5,2.408045977
1987-03-28,24,45.5,-2.290499903
1987-03-29,14,54,-4.591954023
1987-03-30,30,54,37.408045977
1987-03-31,28,60,33.265969891
1987-04-01,25,62.5,32.408045977
1987-04-02,27,60,28.408045977
1987-04-03,26,49.5,-17.58848841
1987-04-04,27,52.5,-24.59195402
1987-04-05,19,52,-12.59195402
1987-04-06,26,52,-11.23403011
1987-04-07,23,50,10.408045977
1987-04-08,19,46.5,8.408045977
1987-04-09,22,50.5,-1.134178064
1987-04-10,23,47,-2.591954023
1987-04-11,28,46,-18.59195402
1987-04-12,28,47,-13.23403011
1987-04-13,26,55,3.408045977
1987-04-14,19,53.5,-11.59195402
1987-04-15,31,51.5,-23.08216657
1987-04-16,23,50,-11.59195402
1987-04-17,26,45,-18.59195402
1987-04-18,18,45,-23.23403011
1987-04-19,23,45.5,-26.59195402
1987-04-20,28,48.5,-3.591954023
1987-04-21,26,53,-5.698336894
1987-04-22,28,49,-4.591954023
1987-04-23,27,55,6.408045977
1987-04-24,27,48.5,-6.734030109
1987-04-25,21,51,-17.59195402
1987-04-26,28,61,-10.59195402
1987-04-27,16,64.5,29.895193312
1987-04-28,22,58.5,12.408045977
1987-04-29,28,59.5,10.408045977
1987-04-30,18,53.5,-10.23403011
1987-05-01,23,49,-14.59195402
1987-05-02,27,48.5,-26.59195402
1987-05-03,23,57.5,-20.3904999
1987-05-04,11,61,-18.59195402
1987-05-05,24,60.5,-7.591954023
1987-05-06,32,65,3.7659698912
1987-05-07,22,67.5,7.408045977
1987-05-08,23,72,19.408045977
1987-05-09,26,68,1.6451933124
1987-05-10,26,64.5,-18.59195402
1987-05-11,23,57.5,-11.59195402
1987-05-12,16,53,-15.87610619
1987-05-13,11,56.5,-8.591954023
1987-05-14,33,58.5,-11.59195402
1987-05-15,22,54.5,-13.85480669
1987-05-16,32,52.5,-21.59195402
1987-05-17,25,53,-23.59195402
1987-05-18,17,51,-10.23403011
1987-05-19,20,52.5,-15.59195402
1987-05-20,29,56,-3.591954023
1987-05-21,26,59.5,-1.761128527
1987-05-22,28,55,-10.59195402
1987-05-23,25,58,-18.59195402
1987-05-24,23,59,-15.23403011
1987-05-25,23,53,-19.59195402
1987-05-26,19,54,NA
1987-05-27,22,54.5,-16.69833689
1987-05-28,18,55.5,-8.591954023
1987-05-29,21,56,-12.59195402
1987-05-30,23,55,-26.73403011
1987-05-31,22,54,-29.59195402
1987-06-01,23,54.5,-21.59195402
1987-06-02,23,59,-11.54201505
1987-06-03,35,65.5,-4.591954023
1987-06-04,27,66,2.408045977
1987-06-05,25,58.5,-14.23403011
1987-06-06,26,59,-25.59195402
1987-06-07,22,64.5,-23.59195402
1987-06-08,25,57.5,-6.742226969
1987-06-09,30,54.5,-3.591954023
1987-06-10,24,58,-15.59195402
1987-06-11,27,62.5,-7.234030109
1987-06-12,28,64,-10.59195402
1987-06-13,26,63,-20.59195402
1987-06-14,26,63.5,-15.54201505
1987-06-15,27,56.5,-16.59195402
1987-06-16,30,55,-14.73403011
1987-06-17,22,60,-16.59195402
1987-06-18,23,64,-13.59195402
1987-06-19,25,63.5,-11.59195402
1987-06-20,23,57,-19.51112853
1987-06-21,21,57.5,-30.59195402
1987-06-22,30,59.5,-22.59195402
1987-06-23,25,61,-20.59195402
1987-06-24,23,66,-15.23403011
1987-06-25,20,71,-6.591954023
1987-06-26,27,72.5,-4.198336894
1987-06-27,26,70,-19.59195402
1987-06-28,18,68.5,-23.59195402
1987-06-29,29,76,5.408045977
1987-06-30,27,69,-4.234030109
1987-07-01,20,65.5,-15.59195402
1987-07-02,29,60.5,-18.52980669
1987-07-03,22,63.5,-20.59195402
1987-07-04,21,59,NA
1987-07-05,13,59.5,-22.87610619
1987-07-06,29,59,NA
1987-07-07,13,61.5,-7.737752161
1987-07-08,30,59,-20.55572529
1987-07-09,33,57.5,-22.62247839
1987-07-10,24,63,-13.38040346
1987-07-11,12,71.5,-13.51320845
1987-07-12,14,71,-27.12391931
1987-07-13,25,72,-12.14121037
1987-07-14,18,69.5,-0.33985554
1987-07-15,19,62.5,-9.253602305
1987-07-16,16,60.5,-15.25072046
1987-07-17,20,63.5,9.6006370393
1987-07-18,26,68,-25.04610951
1987-07-19,23,63.5,-24.9740634
1987-07-20,21,68.5,-8.1850605
1987-07-21,13,69,-9.026011561
1987-07-22,23,59,-15.01152738
1987-07-23,21,65,-14.89913545
1987-07-24,24,65,-1.55907781
1987-07-25,23,64,-22.57060519
1987-07-26,25,65,-16.90249317
1987-07-27,27,65,-23.96541787
1987-07-28,28,64,-11.19596542
1987-07-29,17,65,-11.47697052
1987-07-30,18,63,-21.5907781
1987-07-31,22,62,-6.550432277
1987-08-01,16,64,-20.88728609
1987-08-02,17,66.5,-27.51873199
1987-08-03,23,72,3.9480390928
1987-08-04,24,68.5,-4.645533141
1987-08-05,22,62,-13.65706052
1987-08-06,32,66.5,-4.803571429
1987-08-07,21,69.5,2.217339097
1987-08-08,31,75,-15.38040346
1987-08-09,26,69,-16
1987-08-10,27,60.5,-11.7925072
1987-08-11,24,67.5,-12.57348703
1987-08-12,26,59,-10.42939481
1987-08-13,35,59.5,-20.72845365
1987-08-14,18,61.5,-19.32853026
1987-08-15,21,61,-19.18473875
1987-08-16,20,61,NA
1987-08-17,21,61.5,-6.268011527
1987-08-18,16,65.5,-6.332369942
1987-08-19,20,65,-11.52322404
1987-08-20,27,63,-18.29682997
1987-08-21,27,63,-9.279538905
1987-08-22,20,66,-10.25072046
1987-08-23,26,68,-11.30835735
1987-08-24,19,68.5,11.573487032
1987-08-25,22,69,3.9825639919
1987-08-26,23,65.5,4.1613832853
1987-08-27,21,69,2.0662824207
1987-08-28,29,63,-5.36127964
1987-08-29,26,69.5,-14.01152738
1987-08-30,16,73,-8.069164265
1987-08-31,26,77,15.072732908
1987-09-01,19,75.5,28.780979827
1987-09-02,25,62.5,-12.24207493
1987-09-03,22,61.5,-1.540230033
1987-09-04,29,64,-5.16426513
1987-09-05,29,68.5,-13.13256484
1987-09-06,24,68.5,-3.572390526
1987-09-07,20,66,-18.14409222
1987-09-08,26,63,NA
1987-09-09,16,62,-2.087545759
1987-09-10,21,65.5,18.878962536
1987-09-11,24,58,0.795389049
1987-09-12,13,59,-14.34742344
1987-09-13,16,60,-28.35446686
1987-09-14,20,56,-2.46685879
1987-09-15,21,56,-7.554125066
1987-09-16,20,57,-4.656069364
1987-09-17,16,59,2.1531791908
1987-09-18,18,60.5,4.8537220571
1987-09-19,21,64,3.9075144509
1987-09-20,16,68.5,-7.028901734
1987-09-21,22,68.5,12.585710877
1987-09-22,13,68.5,NA
1987-09-23,14,67,21.141618497
1987-09-24,24,58,-7.949548421
1987-09-25,23,58.5,-4.768786127
1987-09-26,32,56,-29.65895954
1987-09-27,23,55.5,-12.14868337
1987-09-28,20,59,-0.572254335
1987-09-29,17,65.5,2.6098265896
1987-09-30,20,65.5,28.114558938
1987-10-01,29,69.5,55.921965318
1987-10-02,27,60,-1.997109827
1987-10-03,27,62.5,-17.38351521
1987-10-04,18,60.5,-23.96242775
1987-10-05,30,60,3.0722543353
1987-10-06,28,63.5,3.3502650226
1987-10-07,23,62,44.208092486
1987-10-08,18,57.5,25.286127168
1987-10-09,23,62.5,13.294906751
1987-10-10,11,61,6.4190751445
1987-10-11,26,60,-3.572254335
1987-10-12,22,54,31.051896775
1987-10-13,28,53.5,38.361271676
1987-10-14,28,50,30.323699422
1987-10-15,25,51.5,10.036781547
1987-10-16,12,54,2.1936416185
1987-10-17,21,51.5,-6.832369942
1987-10-18,24,51,3.5830125672
1987-10-19,19,56,9.1358381503
1987-10-20,34,56.5,35.132947977
1987-10-21,28,53,56.854591559
1987-10-22,21,48.5,63.112716763
1987-10-23,26,49,84.173410405
1987-10-24,28,52,17.092592593
1987-10-25,34,55,-17.73121387
1987-10-26,33,52.5,1.289017341
1987-10-27,25,48,51.552432108
1987-10-28,23,50.5,75.419075145
1987-10-29,14,55.5,42.465317919
1987-10-30,17,59,8.8276016825
1987-10-31,22,56,-14.45953757
1987-11-01,33,53,-17.445086710000002
1987-11-02,32,50.5,-4.990647835
1987-11-03,26,52,15.546242775
1987-11-04,22,49,20.554913295
1987-11-05,19,52.5,21.534966807
1987-11-06,29,48.5,38.612716763
1987-11-07,17,55.5,8.7283236994
1987-11-08,28,56.5,10.339731705
1987-11-09,39,53.5,22.725433526
1987-11-10,16,53.5,NA
1987-11-11,23,54,-10.5216646
1987-11-12,24,54,20.639769452
1987-11-13,29,47,-12.34870317
1987-11-14,30,45.5,-18.74013104
1987-11-15,18,46,-25.3054755
1987-11-16,30,41,-0.331412104
1987-11-17,23,41.5,40.829286524
1987-11-18,25,47.5,90.625360231
1987-11-19,26,53.5,75.680115274
1987-11-20,23,56.5,48.379492687
1987-11-21,22,48.5,-16.30835735
1987-11-22,22,46.5,-27.2795389
1987-11-23,33,46.5,-16.43184864
1987-11-24,27,47,-12.02944375
1987-11-25,26,43,39.75
1987-11-26,27,43.5,32.896226415
1987-11-27,30,44.5,35.727011494
1987-11-28,25,38.5,NA
1987-11-29,21,39.5,17.751460335
1987-11-30,32,48,-18.83333333
1987-12-01,28,45.5,-14.27377522
1987-12-02,30,46,-11.28530259
1987-12-03,24,48.5,-10.05744836
1987-12-04,27,43.5,6.7694524496
1987-12-05,34,42.5,8.451020085
1987-12-06,20,48.5,-28.1815562
1987-12-07,22,46,-8.193083573
1987-12-08,25,46,-6.012424555
1987-12-09,28,48,-21.13544669
1987-12-10,30,44.5,-17.15850144
1987-12-11,24,40,10.240689998
1987-12-12,26,36,-6.083573487
1987-12-13,23,31.5,7.939481268
1987-12-14,22,36,6.0678864662
1987-12-15,30,32.5,4.8357348703
1987-12-16,20,35.5,-8.178674352
1987-12-17,27,33.5,42.884182051
1987-12-18,26,36,40.783861671
1987-12-19,17,36,46.821325648
1987-12-20,26,35.5,12.950492089
1987-12-21,22,40.5,-4.204610951
1987-12-22,24,38.5,-11.24783862
1987-12-23,33,34.5,2.2767577981
1987-12-24,21,35.5,NA
1987-12-25,23,33,10.792507205
1987-12-26,29,32.5,13.964384753
1987-12-27,33,35.5,11.850144092
1987-12-28,24,42,50.844380403
1987-12-29,23,41.5,11.549180328
1987-12-30,30,38.5,48.974063401
1987-12-31,32,39,NA
1988-01-01,30,35,13.119501387
1988-01-02,28,31.5,17.997118156
1988-01-03,25,36,-7.922413793
1988-01-04,42,40.5,6.6142549815
1988-01-05,27,42,NA
1988-01-06,27,40.5,39.17765043
1988-01-07,28,42,29.697559064
1988-01-08,37,38.5,-2.905444126
1988-01-09,30,41.5,-7.896848138
1988-01-10,41,42.5,-10.5546534
1988-01-11,31,41,-8.916905444
1988-01-12,29,41,6.111747851
1988-01-13,19,42.5,-11.65233551
1988-01-14,44,47.5,-16.80802292
1988-01-15,20,42.5,-10.79083095
1988-01-16,32,39,-17.27134241
1988-01-17,33,39.5,3.323782235
1988-01-18,31,39.5,21.269340974
1988-01-19,29,39,-3.858490566
1988-01-20,33,43.5,-3.856733524
1988-01-21,28,40.5,53.137535817
1988-01-22,25,40,2.9545488707
1988-01-23,25,40,11.197707736
1988-01-24,24,35.5,24.206303725
1988-01-25,38,42.5,51.624842675
1988-01-26,25,38.5,80.103151862
1988-01-27,29,45.5,120.11461318
1988-01-28,24,47.5,-4.909263213
1988-01-29,33,43.5,-18.89398281
1988-01-30,27,36.5,-23.83094556
1988-01-31,30,33,-23.84813754
1988-02-01,28,31,7.5624425583
1988-02-02,25,32,26.11747851
1988-02-03,37,40.5,-1.266003123
1988-02-04,32,39.5,22.048710602
1988-02-05,42,41,65.054441261
1988-02-06,41,43,-5.854577705
1988-02-07,33,47.5,-25.84240688
1988-02-08,25,47.5,-12.84813754
1988-02-09,36,46,-12.47667811
1988-02-10,22,47.5,-8.830945559
1988-02-11,27,48,3.1776504298
1988-02-12,35,47.5,-6.279099313
1988-02-13,35,46,-26.80515759
1988-02-14,20,43,-22.78223496
1988-02-15,30,42.5,-17.5474544
1988-02-16,24,42,NA
1988-02-17,40,44.5,-12.66571429
1988-02-18,28,43,11.339958609
1988-02-19,18,47,9.3703703704
1988-02-20,27,42.5,7.4045584046
1988-02-21,28,40.5,23.736085813
1988-02-22,26,44,22.43019943
1988-02-23,20,46,35.475783476
1988-02-24,30,48.5,95.949596613
1988-02-25,36,47,56.541310541
1988-02-26,27,50.5,39.586894587
1988-02-27,18,49,10.052216151
1988-02-28,31,51.5,0.5698005698
1988-02-29,24,52.5,18.615384615
1988-03-01,33,49,-1.328571429
1988-03-02,33,47,-5.202857143
1988-03-03,24,43,0.7828571429
1988-03-04,32,44,-5.523729725
1988-03-05,19,44,-16.29428571
1988-03-06,26,43,-23.28
1988-03-07,24,44.5,8.0915633423
1988-03-08,22,45,0.664756447
1988-03-09,24,41.5,-20.27714286
1988-03-10,23,42,-1.187613843
1988-03-11,20,43,24.86
1988-03-12,22,43.5,17.94
1988-03-13,31,47.5,13.191698113
1988-03-14,35,45,23.877142857
1988-03-15,31,45.5,NA
1988-03-16,29,49.5,26.069925116
1988-03-17,28,50,51.725714286
1988-03-18,31,51,70.777142857
1988-03-19,16,52,8.1356873315
1988-03-20,30,47.5,-29.06
1988-03-21,25,45.5,-16.02285714
1988-03-22,24,47,-19.47823807
1988-03-23,25,45.5,-5.968660969
1988-03-24,32,41.5,-19.9031339
1988-03-25,23,47,-18.18643498
1988-03-26,32,43,-32.87179487
