date,death,tmpd,pm10tmean
1987-01-01,15,30,NA
1987-01-02,19,26.5,NA
1987-01-03,14,30.5,7.406779661
1987-01-04,14,33,NA
1987-01-05,15,36,NA
1987-01-06,13,48,NA
1987-01-07,13,37.5,NA
1987-01-08,14,34.5,NA
1987-01-09,14,31.5,-19.28190429
1987-01-10,18,30,NA
1987-01-11,10,28,NA
1987-01-12,19,36.5,NA
1987-01-13,18,44.5,NA
1987-01-14,10,49.5,NA
1987-01-15,19,41,-14.32
1987-01-16,7,31,NA
1987-01-17,12,32,NA
1987-01-18,17,28,NA
1987-01-19,18,23.5,NA
1987-01-20,11,23,NA
1987-01-21,9,28.5,-12.32
1987-01-22,16,25,NA
1987-01-23,16,12.5,NA
1987-01-24,7,8.5,NA
1987-01-25,15,10.5,NA
1987-01-26,17,14,NA
1987-01-27,13,27.5,1.7180957129
1987-01-28,13,33,NA
1987-01-29,7,45,NA
1987-01-30,10,37,NA
1987-01-31,13,36.5,NA
1987-02-01,20,44.5,NA
1987-02-02,15,47,-8.781904287
1987-02-03,17,41,NA
1987-02-04,18,37.5,NA
1987-02-05,9,39.5,NA
1987-02-06,15,43,NA
1987-02-07,15,45.5,NA
1987-02-08,10,38.5,-19.78190429
1987-02-09,18,30.5,NA
1987-02-10,9,44,NA
1987-02-11,16,54,NA
1987-02-12,13,45.5,NA
1987-02-13,13,40,NA
1987-02-14,14,48.5,3.7180957129
1987-02-15,16,34.5,NA
1987-02-16,9,26,NA
1987-02-17,19,28.5,NA
1987-02-18,4,34,NA
1987-02-19,14,33,NA
1987-02-20,11,35.5,65.406779661
1987-02-21,12,39.5,NA
1987-02-22,10,42.5,NA
1987-02-23,9,38,NA
1987-02-24,11,39.5,NA
1987-02-25,13,42.5,NA
1987-02-26,11,45.5,22.718095713
1987-02-27,10,43,NA
1987-02-28,9,49,NA
1987-03-01,7,42,NA
1987-03-02,14,44,NA
1987-03-03,15,43.5,NA
1987-03-04,10,47.5,-2.970588235
1987-03-05,13,60.5,NA
1987-03-06,13,55.5,NA
1987-03-07,7,61.5,NA
1987-03-08,8,57,NA
